"subject" "item" "condition" "NP1"
"2286" 19 5 -1 6.12686918411419
"2298" 19 2 -1 5.82304589548302
"2310" 19 14 -1 5.84354441703136
"2323" 19 8 1 7.13727843726039
"2336" 19 15 1 7.5137092478397
"2349" 19 16 1 7.59739632021279
"2361" 19 1 -1 6.69579891705849
"2374" 19 7 1 8.28828304520769
"2387" 19 12 1 6.24027584517077
"2399" 19 6 -1 5.51745289646471
"2412" 2 4 1 5.79605775076537
"2425" 2 5 1 7.52240023138712
"2438" 2 12 1 5.88887795833288
"2450" 2 6 -1 5.79605775076537
"2462" 2 2 -1 5.93489419561959
"2474" 2 3 -1 6.69456205852109
"2487" 2 1 1 7.60539236481493
"2499" 2 14 -1 5.88887795833288
"2511" 2 15 -1 5.79909265446053
"2524" 2 9 1 6.37161184723186
"2536" 2 10 -1 5.48479693349065
"2549" 2 16 1 5.84354441703136
"2561" 2 7 -1 5.55295958492162
"2573" 2 11 -1 5.64190707093811
"2586" 2 8 1 5.4553211153577
"2599" 2 13 1 5.72031177660741
"2612" 20 11 1 6.12686918411419
"2625" 20 2 1 7.40367029001237
"2638" 20 14 1 6.22455842927536
"2650" 20 13 -1 6.4377516497364
"2663" 20 6 1 6.90073066404517
"2676" 20 10 1 6.14203740558736
"2688" 20 1 -1 6.22455842927536
"2701" 20 7 1 6.14203740558736
"2713" 20 9 -1 6.70686233660275
"2725" 20 5 -1 6.0137151560428
"2737" 20 16 -1 6.98564181763921
"2749" 20 12 -1 6.61338421837956
"2761" 20 8 -1 6.0137151560428
"2773" 20 4 -1 6.58202513889283
"2786" 20 3 1 5.84354441703136
"2799" 20 15 1 6.05443934626937
"2812" 21 14 1 7.22766249872865
"2825" 21 13 1 6.0330862217988
"2837" 21 16 -1 8.00436556497957
"2849" 21 3 -1 5.95324333428778
"2861" 21 12 -1 8.36194190614495
"2874" 21 1 1 6.97073007814353
"2887" 21 10 1 5.97380961186926
"2899" 21 7 -1 5.88887795833288
"2911" 21 11 -1 5.91350300563827
"2924" 21 2 1 6.10924758276437
"2937" 21 5 1 8.24722005274523
"2949" 21 15 -1 5.79909265446053
"2962" 21 6 1 6.9555926083963
"2974" 21 4 -1 5.64190707093811
"2986" 21 8 -1 6.10702288774225
"2999" 21 9 1 5.97635090929793
"3012" 22 16 1 6.28599809450886
"3025" 22 8 1 6.2709884318583
"3038" 22 4 1 6.63594655568665
"3050" 22 2 -1 6.21060007702465
"3063" 22 1 1 6.61338421837956
"3075" 22 15 -1 5.99146454710798
"3087" 22 10 -1 6.08904487544685
"3100" 22 9 1 6.12686918411419
"3113" 22 13 1 6.08904487544685
"3125" 22 6 -1 6.17586727010576
"3137" 22 14 -1 5.91079664404053
"3150" 22 5 1 6.2709884318583
"3162" 22 7 -1 5.97380961186926
"3174" 22 3 -1 5.8664680569333
"3186" 22 11 -1 5.91079664404053
"3199" 22 12 1 6.17586727010576
"3212" 23 7 1 5.97380961186926
"3225" 23 3 1 6.14203740558736
"3237" 23 14 -1 6.22653666928747
"3249" 23 5 -1 6.21060007702465
"3261" 23 6 -1 5.79909265446053
"3273" 23 2 -1 6.14203740558736
"3285" 23 13 -1 6.01615715969835
"3297" 23 10 -1 5.82008293035236
"3309" 23 1 -1 5.74620319054015
"3322" 23 16 1 6.27287700654617
"3335" 23 11 1 5.88887795833288
"3348" 23 8 1 5.91350300563827
"3361" 23 12 1 5.84354441703136
"3373" 23 9 -1 5.88887795833288
"3386" 23 15 1 5.97635090929793
"3399" 23 4 1 5.77455154554441
"3412" 24 7 1 7.55642796944025
"3424" 24 8 -1 6.67582322163485
"3436" 24 13 -1 6.14203740558736
"3449" 24 14 1 7.07072410726028
"3462" 24 15 1 7.0647590277918
"3475" 24 6 1 6.14203740558736
"3487" 24 9 -1 6.14418563412565
"3499" 24 4 -1 6.05208916892442
"3511" 24 12 -1 5.88610403145016
"3524" 24 3 1 6.16120732169508
"3536" 24 16 -1 6.10924758276437
"3548" 24 5 -1 6.63594655568665
"3560" 24 1 -1 6.08904487544685
"3573" 24 11 1 6.20859002609663
"3586" 24 10 1 7.21007962817079
"3599" 24 2 1 6.33150184989369
"3611" 25 11 -1 5.84354441703136
"3623" 25 3 -1 6.30078579466324
"3636" 25 5 1 7.60539236481493
"3649" 25 6 1 7.00760061395185
"3662" 25 1 1 6.55819780281227
"3675" 25 14 1 6.07304453410041
"3687" 25 8 -1 5.66642668811243
"3700" 25 10 1 6.10702288774225
"3712" 25 4 -1 5.88887795833288
"3725" 25 9 1 6.13988455222626
"3737" 25 16 -1 5.48893772615669
"3750" 25 2 1 6.63463335786169
"3763" 25 13 1 5.54907608489522
"3775" 25 12 -1 5.5834963087817
"3787" 25 7 -1 5.60947179518496
"3799" 25 15 -1 5.6937321388027
"3812" 26 9 1 6.31716468674728
"3824" 26 7 -1 6.07073772800249
"3836" 26 3 -1 6.25575004175337
"3849" 26 12 1 6.48768401848461
"3862" 26 4 1 6.25575004175337
"3874" 26 14 -1 6.05443934626937
"3887" 26 16 1 6.0913098820777
"3899" 26 10 -1 6.12468339089421
"3911" 26 2 -1 5.8664680569333
"3923" 26 6 -1 5.99396142730657
"3936" 26 8 1 6.51323011091231
"3949" 26 13 1 6.53524127101366
"3961" 26 11 -1 5.97380961186926
"3973" 26 15 -1 6.38519439899773
