"subject" "item" "condition" "NP1"
"9173" 5 11 -1 5.88887795833288
"9186" 5 14 1 7.98241634682773
"9199" 5 6 1 6.37331978957701
"9211" 6 15 -1 5.86929691313377
"9224" 6 5 1 5.99396142730657
"9237" 6 1 1 5.84354441703136
"9250" 6 16 1 6.03548143252476
"9263" 6 13 1 5.55295958492162
"9276" 6 12 1 5.74620319054015
"9288" 6 2 -1 5.51745289646471
"9301" 6 8 1 5.54907608489522
"9313" 6 6 -1 5.41610040220442
"9326" 6 9 1 5.42053499927229
"9338" 6 7 -1 5.30330490805908
"9351" 6 4 1 5.48893772615669
"9363" 6 11 -1 5.4510384535657
"9375" 6 3 -1 5.26269018890489
"9387" 6 10 -1 5.57972982598622
"9399" 6 14 -1 5.54907608489522
"9412" 7 7 1 6.10702288774225
"9424" 7 13 -1 6.05443934626937
"9437" 7 16 1 6.03548143252476
"9450" 7 11 1 5.95324333428778
"9462" 7 2 -1 5.93489419561959
"9475" 7 15 1 5.82304589548302
"9488" 7 12 1 7.03702761468628
"9500" 7 6 -1 5.93224518744801
"9513" 7 3 1 5.97380961186926
"9526" 7 8 1 6.21060007702465
"9538" 7 10 -1 5.93224518744801
"9551" 7 4 1 6.03548143252476
"9563" 7 9 -1 6.0913098820777
"9575" 7 1 -1 5.79909265446053
"9587" 7 5 -1 6.24027584517077
"9599" 7 14 -1 5.84643877505772
"9811" 9 3 -1 5.74620319054015
"9823" 9 4 -1 6.0913098820777
"9836" 9 2 1 5.93489419561959
"9848" 9 11 -1 6.05443934626937
"9860" 9 12 -1 5.84643877505772
"9872" 9 16 -1 5.95583736946483
"9885" 9 1 1 5.82008293035236
"9897" 9 15 -1 5.64190707093811
"9910" 9 14 1 5.6937321388027
"9923" 9 6 1 5.91350300563827
"9936" 9 10 1 5.6937321388027
"9948" 9 8 -1 5.77144112313002
"9961" 9 5 1 5.4553211153577
"9974" 9 13 1 5.52146091786225
"9987" 9 9 1 5.38449506278909
"9999" 9 7 -1 5.57972982598622
