"subj" "item" "rt" "question.acc" "cond_rt" "int"
"2123" 3 47 634 0 "HI" 1
"2137" 3 46 1053 0 "LI" -1
"2149" 3 38 519 0 "LI" -1
"2162" 3 6 433 0 "HI" 1
"2174" 3 20 440 1 "LI" -1
"2188" 3 21 877 0 "LI" -1
"2201" 3 22 501 0 "LI" -1
"2215" 3 50 530 1 "LI" -1
"2228" 3 44 476 1 "LI" -1
"2241" 3 2 508 1 "LI" -1
"2255" 3 24 547 0 "HI" 1
"2268" 3 37 548 0 "HI" 1
"2282" 3 3 573 1 "LI" -1
"2295" 3 34 447 0 "LI" -1
"2308" 3 59 1566 1 "HI" 1
"2321" 3 56 594 1 "LI" -1
"2334" 3 27 927 0 "LI" -1
"2348" 3 30 695 0 "HI" 1
"2361" 3 15 748 0 "LI" -1
"2375" 4 31 365 1 "LI" -1
"2388" 4 34 340 1 "HI" 1
"2401" 4 25 401 1 "LI" -1
"2414" 4 1 523 1 "LI" -1
"2427" 4 41 369 1 "HI" 1
"2440" 4 27 351 0 "LI" -1
"2454" 4 15 756 0 "LI" -1
"2468" 4 21 408 1 "LI" -1
"2481" 4 37 390 1 "LI" -1
"2495" 4 45 530 1 "LI" -1
"2507" 4 59 415 1 "HI" 1
"2520" 4 49 469 1 "LI" -1
"2534" 4 9 494 1 "LI" -1
"2547" 4 46 465 1 "HI" 1
"2559" 4 17 508 1 "HI" 1
"2573" 4 4 458 1 "HI" 1
"2586" 4 3 602 1 "LI" -1
"2599" 4 2 379 1 "LI" -1
"2613" 4 24 666 0 "HI" 1
"2626" 4 5 437 1 "HI" 1
"2640" 4 8 569 1 "LI" -1
"2653" 4 57 437 0 "LI" -1
"2665" 4 48 476 0 "HI" 1
"2679" 4 50 491 1 "LI" -1
"2692" 4 53 368 1 "HI" 1
"2704" 4 35 472 1 "HI" 1
"2717" 4 20 375 1 "LI" -1
"2731" 4 11 526 1 "HI" 1
"2744" 4 40 375 1 "HI" 1
"2757" 4 32 404 1 "LI" -1
"2771" 4 58 383 1 "HI" 1
"2784" 4 6 433 1 "HI" 1
"2796" 4 12 379 0 "HI" 1
"2810" 4 30 465 0 "HI" 1
"2823" 4 26 598 1 "LI" -1
"2837" 4 14 390 1 "LI" -1
"2850" 4 23 490 1 "HI" 1
"2863" 4 7 429 1 "LI" -1
"2876" 4 22 358 1 "HI" 1
"2890" 4 38 358 1 "LI" -1
"2903" 4 33 372 0 "LI" -1
"2916" 4 18 548 1 "HI" 1
"2929" 4 29 386 0 "HI" 1
"2942" 4 36 494 1 "HI" 1
"2955" 4 13 357 1 "LI" -1
"2968" 4 10 365 1 "HI" 1
"2982" 4 47 376 0 "HI" 1
"2996" 4 51 357 0 "LI" -1
"3009" 4 60 329 0 "HI" 1
"3022" 4 16 350 1 "HI" 1
"3036" 4 42 469 1 "HI" 1
"3049" 4 56 375 1 "LI" -1
"3062" 4 52 379 1 "HI" 1
"3076" 4 54 437 1 "HI" 1
"3088" 4 55 383 1 "LI" -1
"3101" 4 39 462 0 "LI" -1
"3114" 4 43 393 1 "LI" -1
"3127" 4 19 300 1 "LI" -1
"3141" 4 28 548 0 "HI" 1
"3155" 4 44 508 1 "LI" -1
"3168" 5 48 662 0 "LI" -1
"3182" 5 29 612 0 "HI" 1
"3195" 5 51 651 1 "HI" 1
"3208" 5 9 547 1 "HI" 1
"3221" 5 39 616 0 "HI" 1
"3234" 5 24 859 1 "LI" -1
"3247" 5 37 598 1 "LI" -1
"3261" 5 31 612 1 "LI" -1
"3274" 5 28 583 1 "HI" 1
"3288" 5 45 501 0 "HI" 1
"3300" 5 6 515 0 "LI" -1
"3312" 5 47 641 0 "HI" 1
"3326" 5 40 565 0 "HI" 1
"3339" 5 32 773 0 "LI" -1
"3353" 5 58 748 1 "HI" 1
"3366" 5 21 676 0 "HI" 1
"3379" 5 11 658 0 "HI" 1
"3392" 5 34 555 1 "HI" 1
"3405" 5 30 529 1 "LI" -1
"3418" 5 49 658 0 "LI" -1
"3432" 5 15 569 1 "HI" 1
"3446" 5 27 494 1 "HI" 1
"3460" 5 38 504 0 "LI" -1
"3473" 5 57 501 1 "HI" 1
"3485" 5 3 508 1 "HI" 1
"3498" 5 43 508 1 "LI" -1
"3511" 5 4 555 0 "HI" 1
"3524" 5 41 608 0 "HI" 1
"3537" 5 35 791 0 "HI" 1
"3550" 5 44 479 0 "LI" -1
"3563" 5 1 637 0 "LI" -1
"3576" 5 25 501 0 "LI" -1
"3589" 5 17 443 0 "HI" 1
"3603" 5 60 483 1 "LI" -1
"3616" 5 33 544 1 "HI" 1
"3629" 5 12 476 1 "LI" -1
"3643" 5 22 422 0 "HI" 1
"3657" 5 36 490 0 "LI" -1
"3670" 5 8 490 0 "LI" -1
"3683" 5 26 443 1 "LI" -1
"3697" 5 19 476 1 "LI" -1
"3711" 5 50 512 0 "LI" -1
"3724" 5 16 447 0 "HI" 1
"3738" 5 14 404 0 "LI" -1
"3751" 5 55 501 0 "LI" -1
"3764" 5 52 476 0 "HI" 1
"3778" 5 2 465 0 "LI" -1
"3792" 5 53 483 0 "HI" 1
"3804" 5 20 608 0 "LI" -1
"3818" 5 59 504 0 "HI" 1
"3831" 5 18 504 0 "LI" -1
"3844" 5 7 476 0 "LI" -1
"3857" 5 5 519 0 "HI" 1
"3871" 5 56 508 1 "LI" -1
"3884" 5 23 497 1 "HI" 1
"3897" 5 54 486 0 "LI" -1
"3909" 5 10 479 0 "HI" 1
"3923" 5 46 418 1 "HI" 1
"3935" 5 13 565 0 "LI" -1
"3948" 6 39 695 1 "HI" 1
"3961" 6 52 422 0 "HI" 1
"3975" 6 33 347 1 "HI" 1
"3988" 6 18 501 0 "LI" -1
"4001" 6 58 2293 1 "HI" 1
"4014" 6 57 598 1 "HI" 1
"4026" 6 45 293 0 "HI" 1
"4038" 6 48 279 1 "LI" -1
"4052" 6 53 361 0 "LI" -1
"4064" 6 36 1584 1 "LI" -1
"4077" 6 16 1935 0 "HI" 1
"4091" 6 28 2447 1 "HI" 1
"4105" 6 49 999 1 "LI" -1
"4119" 6 1 659 1 "LI" -1
"4132" 6 59 1537 0 "LI" -1
"4145" 6 6 1386 1 "LI" -1
"4157" 6 26 942 1 "HI" 1
"4171" 6 5 2131 1 "LI" -1
"4185" 6 31 1243 0 "LI" -1
"4198" 6 19 386 1 "LI" -1
"4212" 6 32 1124 1 "HI" 1
"4226" 6 46 443 1 "HI" 1
"4238" 6 30 390 0 "LI" -1
"4251" 6 11 2353 1 "LI" -1
"4264" 6 29 795 0 "LI" -1
"4277" 6 24 408 0 "LI" -1
"4290" 6 47 3238 1 "LI" -1
"4304" 6 35 927 1 "LI" -1
"4317" 6 7 1705 1 "LI" -1
"4330" 6 25 770 0 "LI" -1
"4343" 6 34 1665 0 "HI" 1
"4356" 6 50 321 1 "HI" 1
"4369" 6 20 2436 0 "HI" 1
"4383" 6 2 3077 1 "HI" 1
"4397" 6 13 737 1 "LI" -1
"4410" 6 27 332 0 "HI" 1
"4424" 6 43 547 1 "LI" -1
"4437" 6 56 2077 0 "HI" 1
"4450" 6 55 425 1 "LI" -1
"4463" 6 44 816 1 "HI" 1
"4476" 6 9 902 0 "HI" 1
"4489" 6 40 615 1 "HI" 1
"4502" 6 51 1429 1 "HI" 1
"4515" 6 22 2063 1 "HI" 1
"4529" 6 3 1554 1 "HI" 1
"4542" 6 21 1719 0 "HI" 1
"4555" 6 15 504 1 "HI" 1
"4569" 6 10 1364 0 "HI" 1
"4583" 6 8 1454 1 "HI" 1
"4596" 6 38 322 0 "HI" 1
"4609" 6 37 329 1 "LI" -1
"4623" 6 23 361 1 "LI" -1
"4636" 6 60 802 1 "LI" -1
"4649" 6 41 1353 1 "LI" -1
"4662" 6 14 1106 0 "HI" 1
"4675" 6 12 587 1 "LI" -1
"4689" 6 4 2700 1 "HI" 1
"4702" 6 54 350 1 "LI" -1
"4714" 6 17 1647 1 "LI" -1
"4728" 7 22 448 0 "LI" -1
"4742" 7 10 792 1 "LI" -1
"4756" 7 15 401 1 "HI" 1
"4770" 7 4 390 1 "LI" -1
"4783" 7 20 326 1 "HI" 1
"4797" 7 3 315 0 "HI" 1
"4810" 7 43 354 1 "HI" 1
"4823" 7 40 379 0 "LI" -1
"4836" 7 35 322 0 "LI" -1
"4849" 7 45 387 1 "HI" 1
"4861" 7 11 387 0 "LI" -1
"4874" 7 50 354 1 "HI" 1
"4887" 7 17 351 1 "LI" -1
"4901" 7 56 953 1 "HI" 1
"4914" 7 32 351 1 "HI" 1
"4928" 7 16 343 1 "LI" -1
"4942" 7 23 311 1 "LI" -1
"4955" 7 37 322 1 "HI" 1
"4969" 7 29 376 1 "LI" -1
"4982" 7 53 817 1 "LI" -1
"4994" 7 7 368 1 "HI" 1
"5007" 7 24 408 1 "LI" -1
"5020" 7 47 336 1 "LI" -1
"5034" 7 44 351 1 "HI" 1
"5047" 7 12 293 1 "LI" -1
"5061" 7 36 340 1 "LI" -1
"5074" 7 1 351 1 "HI" 1
"5087" 7 34 372 1 "LI" -1
"5100" 7 33 329 1 "HI" 1
"5113" 7 27 408 0 "HI" 1
"5127" 7 52 318 1 "LI" -1
"5141" 7 13 325 1 "HI" 1
"5154" 7 59 365 0 "LI" -1
"5167" 7 14 404 1 "HI" 1
"5180" 7 38 333 1 "HI" 1
"5193" 7 58 361 0 "LI" -1
"5206" 7 6 279 1 "LI" -1
"5218" 7 28 358 0 "LI" -1
"5232" 7 5 333 1 "LI" -1
"5246" 7 26 304 1 "HI" 1
"5260" 7 21 297 1 "HI" 1
"5273" 7 51 325 1 "HI" 1
"5286" 7 39 332 1 "HI" 1
"5299" 7 31 333 1 "HI" 1
"5312" 7 25 311 1 "HI" 1
"5325" 7 48 347 0 "LI" -1
"5339" 7 30 329 0 "LI" -1
"5352" 7 2 361 1 "HI" 1
"5366" 7 19 318 1 "HI" 1
"5380" 7 60 469 1 "LI" -1
"5393" 7 46 318 1 "LI" -1
"5405" 7 9 336 0 "HI" 1
"5418" 7 49 333 1 "HI" 1
"5432" 7 57 333 0 "HI" 1
"5444" 7 18 336 0 "LI" -1
"5457" 7 54 332 1 "LI" -1
"5469" 7 55 325 1 "HI" 1
"5482" 7 8 358 0 "HI" 1
"5495" 7 41 354 1 "LI" -1
"5508" 8 35 534 1 "LI" -1
"5521" 8 54 526 1 "HI" 1
"5533" 8 55 526 1 "HI" 1
"5546" 8 5 570 1 "LI" -1
"5560" 8 25 638 1 "HI" 1
"5573" 8 8 519 0 "HI" 1
"5586" 8 58 480 1 "LI" -1
"5599" 8 33 404 1 "LI" -1
"5612" 8 2 390 1 "HI" 1
"5626" 8 11 369 1 "LI" -1
"5639" 8 15 903 1 "LI" -1
"5653" 8 19 462 1 "HI" 1
"5667" 8 32 630 0 "HI" 1
"5681" 8 42 437 1 "HI" 1
"5694" 8 52 473 1 "LI" -1
"5708" 8 17 383 1 "LI" -1
"5722" 8 49 996 1 "HI" 1
"5736" 8 37 333 1 "HI" 1
"5750" 8 16 361 0 "LI" -1
"5764" 8 59 365 0 "LI" -1
"5777" 8 39 383 1 "LI" -1
