"subj" "item" "rt" "question.acc" "cond_rt" "int"
"40546" 54 28 573 0 "HI" 1
"40560" 54 16 375 0 "HI" 1
"40574" 54 2 397 1 "HI" 1
"40588" 54 29 716 1 "LI" -1
"40601" 54 26 949 0 "HI" 1
"40615" 54 7 1946 0 "LI" -1
"40628" 54 23 673 1 "LI" -1
"40641" 54 48 705 0 "LI" -1
"40655" 54 59 522 1 "LI" -1
"40668" 54 8 1157 0 "HI" 1
"40681" 54 49 1157 0 "LI" -1
"40695" 54 11 401 1 "LI" -1
"40708" 54 27 354 1 "HI" 1
"40722" 54 51 401 1 "HI" 1
"40735" 54 53 1476 1 "LI" -1
"40747" 54 57 372 1 "HI" 1
"40759" 54 38 584 1 "HI" 1
"40772" 54 47 340 0 "LI" -1
"40786" 54 24 1146 1 "LI" -1
"40799" 54 1 634 0 "LI" -1
"40812" 54 4 297 1 "HI" 1
"40825" 54 35 322 1 "LI" -1
"40838" 54 55 1050 1 "LI" -1
"40851" 54 18 365 1 "LI" -1
"40864" 55 21 426 0 "HI" 1
"40877" 55 49 448 1 "HI" 1
"40891" 55 16 491 1 "LI" -1
"40905" 55 60 832 0 "LI" -1
"40918" 55 44 491 1 "HI" 1
"40931" 55 50 462 1 "HI" 1
"40944" 55 33 397 1 "HI" 1
"40957" 55 2 480 0 "HI" 1
"40971" 55 13 551 0 "HI" 1
"40984" 55 18 885 0 "LI" -1
"40997" 55 23 544 0 "LI" -1
"41010" 55 36 541 0 "LI" -1
"41023" 55 52 476 1 "LI" -1
"41037" 55 46 451 0 "LI" -1
"41049" 55 24 702 0 "LI" -1
"41062" 55 4 448 1 "LI" -1
"41075" 55 54 591 0 "LI" -1
"41087" 55 47 512 1 "LI" -1
"41101" 55 25 448 1 "HI" 1
"41114" 55 6 526 1 "LI" -1
"41126" 55 26 440 0 "HI" 1
"41140" 55 29 505 1 "LI" -1
"41153" 55 37 537 1 "HI" 1
"41167" 55 12 415 1 "LI" -1
"41181" 55 22 659 1 "LI" -1
"41195" 55 27 462 0 "HI" 1
"41209" 55 3 487 1 "HI" 1
"41222" 55 31 397 0 "HI" 1
"41235" 55 40 444 0 "LI" -1
"41248" 55 20 613 0 "HI" 1
"41262" 55 32 462 1 "HI" 1
"41276" 55 28 386 0 "LI" -1
"41290" 55 11 548 1 "LI" -1
"41303" 55 48 620 1 "LI" -1
"41317" 55 45 616 1 "HI" 1
"41329" 55 38 426 1 "HI" 1
"41342" 55 10 655 1 "LI" -1
"41356" 55 56 476 1 "HI" 1
"41369" 55 8 458 1 "HI" 1
"41382" 55 1 541 1 "HI" 1
"41395" 55 41 526 0 "LI" -1
"41408" 55 55 487 1 "HI" 1
"41421" 55 35 544 0 "LI" -1
"41434" 55 59 408 1 "LI" -1
"41447" 55 39 541 0 "HI" 1
"41460" 55 51 311 1 "HI" 1
"41473" 55 57 458 1 "HI" 1
"41485" 55 7 541 0 "HI" 1
"41498" 55 58 440 1 "LI" -1
"41511" 55 15 408 0 "HI" 1
"41525" 55 34 602 1 "LI" -1
"41538" 55 53 472 1 "LI" -1
"41550" 55 30 401 1 "LI" -1
"41563" 55 14 390 1 "HI" 1
"41576" 55 19 655 0 "HI" 1
"41590" 55 43 404 1 "HI" 1
"41603" 55 17 404 1 "LI" -1
"41617" 55 5 512 1 "LI" -1
"41631" 55 9 602 1 "HI" 1
"41644" 56 4 660 1 "LI" -1
"41657" 56 16 1165 1 "LI" -1
"41671" 56 13 681 1 "HI" 1
"41684" 56 10 480 1 "LI" -1
"41698" 56 35 868 1 "LI" -1
"41711" 56 40 469 0 "LI" -1
"41724" 56 29 390 0 "LI" -1
"41737" 56 25 799 0 "HI" 1
"41750" 56 46 1036 1 "LI" -1
"41762" 56 60 516 1 "HI" 1
"41775" 56 18 616 1 "HI" 1
"41788" 56 43 512 1 "HI" 1
"41801" 56 48 1252 1 "HI" 1
"41815" 56 53 437 0 "LI" -1
"41827" 56 39 688 0 "LI" -1
"41840" 56 1 1115 0 "HI" 1
"41853" 56 59 534 1 "LI" -1
"41866" 56 26 1061 1 "HI" 1
"41880" 56 49 752 0 "HI" 1
"41894" 56 22 588 1 "LI" -1
"41908" 56 27 422 0 "LI" -1
"41922" 56 31 548 1 "HI" 1
"41935" 56 3 462 0 "LI" -1
"41948" 56 36 605 1 "HI" 1
"41961" 56 56 853 0 "HI" 1
"41973" 56 28 329 0 "LI" -1
"41987" 56 37 516 1 "HI" 1
"42001" 56 15 390 1 "LI" -1
"42015" 56 21 440 1 "LI" -1
"42028" 56 12 767 0 "HI" 1
"42042" 56 20 458 0 "HI" 1
"42056" 56 14 709 0 "HI" 1
"42069" 56 54 483 1 "HI" 1
"42081" 56 24 329 1 "HI" 1
"42094" 56 57 433 1 "LI" -1
"42106" 56 44 411 1 "HI" 1
"42119" 56 45 440 1 "LI" -1
"42131" 56 41 289 0 "LI" -1
"42144" 56 30 462 1 "HI" 1
"42157" 56 2 325 0 "HI" 1
"42171" 56 58 286 1 "LI" -1
"42184" 56 47 455 1 "LI" -1
"42198" 56 11 480 0 "LI" -1
"42211" 56 32 311 1 "HI" 1
"42225" 56 42 325 1 "HI" 1
"42238" 56 23 422 1 "LI" -1
"42251" 56 34 333 1 "LI" -1
"42264" 56 52 738 1 "LI" -1
"42278" 56 17 333 1 "LI" -1
"42292" 56 5 609 0 "LI" -1
"42306" 56 7 311 1 "HI" 1
"42319" 56 6 340 0 "HI" 1
"42331" 56 33 494 1 "LI" -1
"42344" 56 51 322 1 "LI" -1
"42357" 56 50 526 0 "HI" 1
"42370" 56 38 548 0 "HI" 1
"42383" 56 9 308 1 "LI" -1
"42396" 56 8 663 1 "HI" 1
"42409" 56 55 903 1 "HI" 1
"42422" 56 19 498 1 "HI" 1
"42436" 57 9 549 1 "LI" -1
"42449" 57 24 494 1 "HI" 1
"42462" 57 42 462 1 "HI" 1
"42475" 57 54 466 1 "HI" 1
"42487" 57 49 419 0 "HI" 1
"42501" 57 29 380 1 "HI" 1
"42514" 57 4 380 0 "LI" -1
"42527" 57 48 541 1 "HI" 1
"42541" 57 17 329 1 "HI" 1
"42555" 57 15 344 0 "LI" -1
"42569" 57 22 311 0 "LI" -1
"42583" 57 11 340 1 "HI" 1
"42596" 57 38 365 0 "LI" -1
"42609" 57 50 333 0 "LI" -1
"42622" 57 32 347 1 "LI" -1
"42636" 57 58 369 0 "LI" -1
"42649" 57 39 318 1 "LI" -1
"42662" 57 13 300 0 "HI" 1
"42675" 57 21 304 0 "LI" -1
"42688" 57 36 304 0 "HI" 1
"42701" 57 57 293 1 "LI" -1
"42713" 57 60 347 0 "HI" 1
"42726" 57 14 383 1 "LI" -1
"42739" 57 52 354 0 "LI" -1
"42753" 57 28 250 0 "LI" -1
"42767" 57 23 240 1 "HI" 1
"42780" 57 59 240 1 "HI" 1
"42793" 57 2 265 1 "LI" -1
"42807" 57 1 218 0 "HI" 1
"42820" 57 46 290 0 "LI" -1
"42832" 57 7 265 0 "HI" 1
"42845" 57 3 204 1 "LI" -1
"42858" 57 40 307 0 "LI" -1
"42871" 57 12 221 1 "HI" 1
"42885" 57 25 498 0 "HI" 1
"42898" 57 5 247 1 "HI" 1
"42912" 57 35 207 1 "HI" 1
"42925" 57 8 293 0 "LI" -1
"42938" 57 51 290 0 "LI" -1
"42951" 57 10 236 0 "LI" -1
"42965" 57 41 275 0 "HI" 1
"42978" 57 31 318 0 "HI" 1
"42991" 57 34 182 0 "LI" -1
"43004" 57 33 293 1 "LI" -1
"43017" 57 44 272 1 "LI" -1
"43030" 57 45 264 1 "LI" -1
"43042" 57 18 268 1 "HI" 1
"43055" 57 30 372 0 "HI" 1
"43068" 57 26 347 0 "LI" -1
"43082" 57 27 326 1 "LI" -1
"43096" 57 55 469 0 "HI" 1
"43109" 57 37 315 0 "HI" 1
"43123" 57 53 300 1 "HI" 1
"43135" 57 56 333 0 "LI" -1
"43148" 57 6 286 0 "HI" 1
"43160" 57 20 326 0 "LI" -1
"43174" 57 19 257 0 "HI" 1
"43188" 57 47 293 0 "HI" 1
"43202" 57 16 300 0 "LI" -1
"43216" 57 43 265 0 "HI" 1
"43229" 58 46 534 0 "HI" 1
"43241" 58 2 541 1 "LI" -1
"43255" 58 45 401 0 "LI" -1
"43267" 58 36 437 0 "HI" 1
"43280" 58 33 3587 0 "LI" -1
"43293" 58 10 447 0 "HI" 1
"43306" 58 9 591 0 "LI" -1
"43319" 58 53 444 1 "HI" 1
"43331" 58 43 530 0 "LI" -1
"43344" 58 26 465 0 "LI" -1
"43358" 58 4 394 1 "HI" 1
"43371" 58 58 709 1 "HI" 1
"43384" 58 52 566 1 "HI" 1
"43398" 58 40 394 0 "HI" 1
"43411" 58 18 411 0 "HI" 1
"43424" 58 50 455 0 "LI" -1
"43437" 58 21 383 0 "LI" -1
"43450" 58 30 426 0 "HI" 1
"43463" 58 1 397 0 "LI" -1
"43476" 58 15 487 0 "LI" -1
"43490" 58 59 4407 1 "HI" 1
"43503" 58 25 810 1 "LI" -1
"43516" 58 6 336 1 "HI" 1
"43528" 58 19 767 1 "LI" -1
"43542" 58 35 437 0 "HI" 1
"43555" 58 54 404 0 "HI" 1
"43567" 58 44 300 1 "LI" -1
"43580" 58 20 1993 1 "LI" -1
"43594" 58 12 351 0 "HI" 1
"43608" 58 23 497 0 "HI" 1
"43621" 58 37 390 1 "LI" -1
"43635" 58 56 426 0 "LI" -1
"43648" 58 41 401 0 "HI" 1
"43661" 58 5 436 1 "HI" 1
"43675" 58 32 465 1 "LI" -1
"43689" 58 11 368 1 "HI" 1
"43702" 58 42 419 0 "HI" 1
"43715" 58 39 526 1 "LI" -1
"43728" 58 7 569 1 "LI" -1
"43741" 58 60 422 0 "HI" 1
"43754" 58 51 748 1 "LI" -1
"43767" 58 38 390 1 "LI" -1
"43780" 58 29 354 1 "HI" 1
"43793" 58 57 372 0 "LI" -1
"43805" 58 16 343 0 "HI" 1
"43819" 58 27 343 0 "LI" -1
"43833" 58 49 379 1 "LI" -1
"43847" 58 22 375 1 "HI" 1
"43861" 58 17 375 0 "HI" 1
"43875" 58 8 436 1 "LI" -1
"43888" 58 31 1587 1 "LI" -1
"43901" 58 48 307 1 "HI" 1
"43915" 58 55 673 1 "LI" -1
"43928" 58 3 365 0 "LI" -1
"43941" 58 24 487 1 "HI" 1
"43954" 58 14 336 1 "LI" -1
"43967" 58 34 433 1 "HI" 1
"43980" 58 13 365 0 "LI" -1
"43993" 58 28 365 1 "HI" 1
"44007" 58 47 450 1 "HI" 1
"44021" 59 47 483 0 "HI" 1
"44035" 59 44 336 1 "LI" -1
"44048" 59 11 419 1 "HI" 1
"44061" 59 51 440 1 "HI" 1
"44074" 59 9 343 1 "HI" 1
"44087" 59 22 386 1 "HI" 1
"44101" 59 10 279 0 "HI" 1
"44115" 59 56 519 0 "LI" -1
"44128" 59 55 272 0 "LI" -1
"44141" 59 24 583 1 "LI" -1
"44154" 59 1 755 1 "LI" -1
"44167" 59 45 494 1 "HI" 1
"44179" 59 27 286 1 "HI" 1
"44193" 59 50 286 1 "LI" -1
"44206" 59 13 271 0 "LI" -1
"44219" 59 5 293 1 "HI" 1
"44233" 59 17 236 1 "HI" 1
"44247" 59 18 332 1 "LI" -1
"44260" 59 8 314 0 "LI" -1
"44273" 59 16 372 0 "HI" 1
"44287" 59 43 293 0 "LI" -1
"44300" 59 2 325 0 "LI" -1
"44314" 59 33 340 1 "HI" 1
"44327" 59 30 476 1 "LI" -1
"44340" 59 12 400 1 "LI" -1
"44354" 59 54 530 1 "LI" -1
"44366" 59 34 315 1 "HI" 1
"44379" 59 28 254 0 "HI" 1
"44393" 59 41 483 0 "HI" 1
"44406" 59 3 422 1 "HI" 1
"44419" 59 53 253 0 "HI" 1
"44431" 59 21 379 1 "HI" 1
"44444" 59 19 300 0 "LI" -1
"44458" 59 15 232 0 "HI" 1
"44472" 59 48 257 1 "LI" -1
"44486" 59 36 246 0 "LI" -1
"44499" 59 31 225 0 "LI" -1
"44512" 59 49 253 1 "LI" -1
"44526" 59 58 293 0 "HI" 1
"44539" 59 23 336 0 "HI" 1
"44552" 59 20 307 1 "LI" -1
"44566" 59 37 253 1 "LI" -1
"44580" 59 25 325 1 "LI" -1
"44593" 59 14 304 1 "LI" -1
"44606" 59 59 275 0 "HI" 1
"44619" 59 38 293 0 "LI" -1
"44632" 59 26 314 1 "LI" -1
"44646" 59 35 340 0 "HI" 1
"44659" 59 6 364 0 "LI" -1
"44671" 59 32 329 1 "LI" -1
"44685" 59 4 465 0 "HI" 1
"44698" 59 60 293 1 "LI" -1
"44711" 59 40 347 1 "HI" 1
"44724" 59 52 250 1 "HI" 1
"44738" 59 39 229 1 "HI" 1
"44751" 59 29 289 0 "HI" 1
"44764" 59 57 243 1 "HI" 1
"44776" 59 7 325 1 "LI" -1
"44789" 59 46 350 1 "HI" 1
"44801" 60 12 956 1 "LI" -1
"44815" 60 13 938 0 "LI" -1
"44828" 60 57 415 1 "HI" 1
"44840" 60 30 497 1 "LI" -1
"44853" 60 44 705 0 "HI" 1
"44878" 60 36 1265 1 "LI" -1
"44891" 60 18 2670 1 "LI" -1
"44904" 60 45 1508 1 "HI" 1
"44916" 60 46 526 0 "HI" 1
"44928" 60 59 3024 1 "LI" -1
"44941" 60 23 2089 1 "LI" -1
"44954" 60 6 515 1 "LI" -1
"44966" 60 24 2766 1 "LI" -1
"44979" 60 41 1024 1 "LI" -1
"44992" 60 55 1386 0 "LI" -1
"45017" 60 27 1089 1 "HI" 1
"45030" 60 21 1458 1 "HI" 1
"45043" 60 14 2221 0 "HI" 1
"45056" 60 11 573 1 "LI" -1
"45068" 60 35 1164 1 "LI" -1
"45081" 60 28 429 0 "HI" 1
"45095" 60 29 397 1 "LI" -1
"45121" 60 53 759 1 "LI" -1
"45133" 60 9 2110 1 "HI" 1
"45146" 60 54 623 1 "LI" -1
"45158" 60 5 920 1 "LI" -1
"45172" 60 17 698 1 "LI" -1
"45186" 60 8 483 0 "HI" 1
"45199" 60 40 1110 0 "HI" 1
"45212" 60 51 1576 1 "HI" 1
"45225" 60 25 648 0 "LI" -1
"45238" 60 38 1888 1 "HI" 1
"45251" 60 48 519 1 "LI" -1
"45265" 60 1 2439 1 "LI" -1
"45278" 60 2 777 0 "HI" 1
"45292" 60 32 1185 0 "HI" 1
"45306" 60 37 626 0 "LI" -1
"45320" 60 33 433 1 "HI" 1
"45332" 60 20 623 1 "HI" 1
"45346" 60 56 544 1 "HI" 1
"45359" 60 7 598 1 "LI" -1
"45372" 60 58 1164 1 "HI" 1
"45385" 60 43 924 0 "LI" -1
"45398" 60 39 415 0 "HI" 1
"45411" 60 19 465 0 "LI" -1
"45425" 60 50 454 0 "HI" 1
"45438" 60 16 945 1 "HI" 1
"45452" 60 26 565 1 "HI" 1
"45466" 60 52 511 1 "HI" 1
"45480" 60 3 2368 1 "HI" 1
"45493" 60 31 400 1 "LI" -1
"45506" 60 47 450 0 "LI" -1
"45520" 60 4 2572 1 "HI" 1
"45533" 60 22 809 1 "HI" 1
"45547" 60 60 572 1 "LI" -1
"45560" 60 10 608 0 "HI" 1
"45574" 61 22 774 1 "LI" -1
"45588" 61 57 939 1 "HI" 1
"45600" 61 45 1248 1 "HI" 1
"45612" 61 44 929 1 "HI" 1
"45625" 61 5 498 1 "LI" -1
"45639" 61 1 649 1 "HI" 1
"45652" 61 49 1008 1 "HI" 1
"45666" 61 18 692 0 "LI" -1
"45679" 61 2 480 1 "HI" 1
"45693" 61 52 423 1 "LI" -1
"45707" 61 8 638 1 "HI" 1
"45720" 61 33 441 0 "HI" 1
"45733" 61 34 516 1 "LI" -1
"45746" 61 24 433 0 "LI" -1
"45759" 61 46 462 1 "LI" -1
"45771" 61 4 509 0 "LI" -1
"45784" 61 14 401 0 "HI" 1
"45797" 61 20 1324 1 "HI" 1
"45811" 61 17 351 1 "LI" -1
"45825" 61 55 713 1 "HI" 1
"45838" 61 10 476 1 "LI" -1
"45852" 61 16 451 0 "LI" -1
"45866" 61 32 416 1 "HI" 1
"45880" 61 41 419 1 "LI" -1
"45893" 61 30 889 1 "LI" -1
"45906" 61 51 523 1 "HI" 1
"45919" 61 56 383 0 "HI" 1
"45932" 61 48 354 1 "LI" -1
"45946" 61 53 433 1 "LI" -1
"45958" 61 58 441 1 "LI" -1
"45971" 61 13 419 1 "HI" 1
"45984" 61 12 667 1 "LI" -1
"45998" 61 43 448 1 "HI" 1
"46011" 61 15 250 1 "HI" 1
"46025" 61 21 473 1 "HI" 1
"46038" 61 39 422 1 "HI" 1
"46051" 61 23 512 1 "LI" -1
"46064" 61 26 365 1 "HI" 1
"46078" 61 28 1327 1 "LI" -1
"46092" 61 27 397 1 "HI" 1
"46106" 61 25 659 1 "HI" 1
"46119" 61 36 670 1 "LI" -1
"46132" 61 29 422 1 "LI" -1
"46145" 61 40 448 0 "LI" -1
"46158" 61 35 462 1 "LI" -1
"46171" 61 9 516 1 "HI" 1
"46184" 61 31 702 1 "HI" 1
"46197" 61 11 397 1 "LI" -1
"46210" 61 19 426 1 "HI" 1
"46224" 61 6 537 1 "LI" -1
"46236" 61 60 893 1 "LI" -1
"46249" 61 59 656 1 "LI" -1
"46262" 61 37 462 1 "HI" 1
"46276" 61 50 1033 1 "HI" 1
"46289" 61 3 401 1 "HI" 1
"46302" 61 38 652 1 "HI" 1
"46315" 61 47 645 1 "LI" -1
"46329" 61 54 433 1 "LI" -1
"46341" 61 7 505 1 "HI" 1
"46354" 62 47 3032 1 "LI" -1
"46368" 62 2 664 1 "HI" 1
"46382" 62 9 811 1 "LI" -1
"46395" 62 57 437 1 "LI" -1
"46407" 62 51 3222 1 "LI" -1
"46420" 62 31 3243 1 "HI" 1
"46433" 62 46 832 1 "LI" -1
"46445" 62 8 1964 1 "HI" 1
"46458" 62 1 1655 1 "HI" 1
"46471" 62 11 857 1 "LI" -1
"46484" 62 15 1971 1 "LI" -1
"46498" 62 38 822 1 "HI" 1
"46511" 62 54 883 1 "HI" 1
"46523" 62 58 394 1 "LI" -1
"46536" 62 22 318 1 "LI" -1
"46550" 62 40 2951 1 "LI" -1
"46563" 62 53 732 1 "LI" -1
"46575" 62 45 548 1 "LI" -1
"46587" 62 23 2114 1 "LI" -1
"46600" 62 27 337 1 "LI" -1
"46614" 62 25 3519 1 "HI" 1
"46627" 62 17 290 0 "LI" -1
"46641" 62 29 340 1 "LI" -1
"46654" 62 26 2290 1 "HI" 1
"46668" 62 5 1392 1 "LI" -1
"46682" 62 48 4050 1 "HI" 1
"46696" 62 33 362 1 "LI" -1
"46709" 62 42 383 1 "HI" 1
"46722" 62 19 351 1 "HI" 1
"46736" 62 34 297 1 "LI" -1
"46749" 62 41 1148 1 "LI" -1
"46762" 62 32 326 0 "HI" 1
"46776" 62 50 1180 1 "HI" 1
"46789" 62 49 1748 1 "HI" 1
"46803" 62 4 423 1 "LI" -1
"46816" 62 28 347 0 "LI" -1
"46830" 62 13 1209 1 "HI" 1
"46843" 62 6 397 1 "HI" 1
"46855" 62 59 911 1 "LI" -1
"46868" 62 43 527 1 "HI" 1
"46881" 62 18 1159 1 "HI" 1
"46894" 62 12 746 1 "HI" 1
"46908" 62 3 351 1 "LI" -1
"46921" 62 56 807 1 "HI" 1
"46934" 62 39 692 1 "LI" -1
"46947" 62 24 580 1 "HI" 1
"46960" 62 14 1819 1 "HI" 1
"46973" 62 52 803 1 "LI" -1
"46987" 62 16 282 1 "LI" -1
"47001" 62 21 2473 1 "LI" -1
"47014" 62 55 361 1 "HI" 1
"47027" 62 20 351 1 "HI" 1
"47053" 62 37 3675 1 "HI" 1
"47067" 62 60 2203 0 "HI" 1
"47080" 62 10 1069 1 "LI" -1
"47094" 62 30 1686 1 "HI" 1
"47107" 62 36 422 1 "HI" 1
"47120" 62 7 1543 1 "HI" 1
"47133" 62 44 487 1 "HI" 1
"47146" 63 46 423 1 "LI" -1
"47158" 63 53 573 1 "HI" 1
"47170" 63 58 814 1 "LI" -1
"47183" 63 36 537 1 "HI" 1
"47196" 63 59 605 1 "HI" 1
"47209" 63 24 552 1 "HI" 1
"47222" 63 26 214 1 "LI" -1
"47236" 63 37 749 0 "HI" 1
"47250" 63 51 426 1 "LI" -1
"47263" 63 41 401 1 "HI" 1
"47276" 63 32 455 1 "LI" -1
"47290" 63 28 304 0 "LI" -1
"47304" 63 16 738 0 "LI" -1
"47318" 63 43 340 1 "HI" 1
"47331" 63 23 462 1 "HI" 1
"47344" 63 1 379 0 "HI" 1
"47357" 63 11 347 1 "HI" 1
"47370" 63 10 602 1 "LI" -1
"47384" 63 21 799 1 "LI" -1
"47397" 63 18 451 1 "HI" 1
"47410" 63 50 444 1 "LI" -1
"47423" 63 8 404 1 "LI" -1
"47436" 63 2 401 1 "LI" -1
"47450" 63 55 372 1 "HI" 1
"47463" 63 12 358 1 "HI" 1
"47477" 63 47 264 1 "HI" 1
"47491" 63 19 365 0 "HI" 1
"47505" 63 56 709 1 "LI" -1
"47518" 63 9 501 1 "LI" -1
"47531" 63 34 336 0 "LI" -1
"47544" 63 22 476 1 "LI" -1
"47558" 63 42 469 1 "HI" 1
"47571" 63 52 383 1 "LI" -1
"47585" 63 29 462 1 "HI" 1
"47598" 63 35 390 1 "HI" 1
"47611" 63 49 433 1 "HI" 1
"47625" 63 25 322 1 "HI" 1
"47638" 63 48 236 1 "HI" 1
"47652" 63 31 311 1 "HI" 1
"47665" 63 45 411 1 "LI" -1
"47677" 63 60 426 1 "HI" 1
"47690" 63 13 516 1 "HI" 1
"47703" 63 14 544 1 "LI" -1
"47716" 63 3 304 1 "LI" -1
"47729" 63 17 279 0 "HI" 1
"47743" 63 44 358 1 "LI" -1
"47756" 63 57 408 1 "LI" -1
"47768" 63 27 917 1 "LI" -1
"47782" 63 15 412 0 "LI" -1
"47796" 63 54 480 0 "HI" 1
"47808" 63 38 358 1 "LI" -1
"47821" 63 33 369 1 "LI" -1
"47834" 63 30 465 1 "HI" 1
"47847" 63 7 368 1 "HI" 1
"47860" 63 6 505 1 "HI" 1
"47872" 63 39 322 1 "LI" -1
"47885" 63 4 357 1 "LI" -1
"47898" 63 20 261 1 "LI" -1
"47912" 63 40 268 1 "LI" -1
"47925" 63 5 422 1 "HI" 1
"47939" 64 38 347 1 "LI" -1
"47952" 64 30 383 0 "HI" 1
"47965" 64 11 566 1 "HI" 1
"47978" 64 60 368 1 "HI" 1
"47991" 64 46 365 1 "HI" 1
"48003" 64 31 354 1 "LI" -1
"48016" 64 33 695 0 "LI" -1
"48029" 64 19 386 1 "LI" -1
"48043" 64 45 698 1 "LI" -1
"48055" 64 28 286 1 "HI" 1
"48069" 64 47 318 1 "HI" 1
"48083" 64 55 300 1 "LI" -1
"48096" 64 17 289 1 "HI" 1
"48110" 64 10 304 1 "HI" 1
"48124" 64 56 336 1 "LI" -1
"48137" 64 1 279 1 "LI" -1
"48150" 64 26 293 1 "LI" -1
"48164" 64 32 401 0 "LI" -1
"48178" 64 22 361 1 "HI" 1
"48192" 64 15 304 0 "LI" -1
"48206" 64 9 290 1 "LI" -1
"48219" 64 18 318 1 "HI" 1
"48232" 64 21 332 0 "LI" -1
"48245" 64 54 490 1 "HI" 1
"48257" 64 13 304 1 "LI" -1
"48270" 64 59 512 1 "HI" 1
"48283" 64 37 307 1 "LI" -1
"48297" 64 3 268 1 "LI" -1
"48310" 64 6 329 1 "HI" 1
"48322" 64 25 282 1 "LI" -1
"48335" 64 57 286 1 "LI" -1
"48347" 64 35 325 1 "HI" 1
"48360" 64 50 329 1 "LI" -1
"48373" 64 20 332 1 "LI" -1
"48387" 64 2 279 1 "LI" -1
"48401" 64 52 282 1 "HI" 1
"48415" 64 51 289 1 "LI" -1
"48428" 64 48 268 1 "HI" 1
"48442" 64 58 318 1 "HI" 1
"48455" 64 27 286 1 "LI" -1
"48469" 64 29 304 1 "HI" 1
"48482" 64 24 293 0 "HI" 1
"48495" 64 39 318 0 "LI" -1
"48508" 64 44 354 1 "LI" -1
"48521" 64 40 286 1 "HI" 1
"48534" 64 16 332 1 "HI" 1
"48548" 64 12 322 1 "HI" 1
"48562" 64 42 357 0 "HI" 1
"48575" 64 49 311 1 "LI" -1
"48589" 64 23 655 1 "HI" 1
"48602" 64 43 530 1 "LI" -1
"48615" 64 41 393 1 "HI" 1
"48628" 64 5 304 1 "HI" 1
"48642" 64 8 304 1 "LI" -1
"48655" 64 4 286 1 "HI" 1
"48668" 64 7 325 1 "LI" -1
"48681" 64 36 210 1 "HI" 1
"48694" 64 53 346 1 "HI" 1
"48706" 64 34 415 1 "HI" 1
"48719" 64 14 479 1 "LI" -1
"48732" 65 58 415 1 "HI" 1
"48745" 65 14 604 1 "LI" -1
"48758" 65 36 533 1 "LI" -1
"48771" 65 10 608 1 "HI" 1
"48785" 65 56 1085 1 "LI" -1
"48798" 65 9 759 0 "HI" 1
"48811" 65 49 834 1 "LI" -1
"48825" 65 11 425 1 "HI" 1
"48838" 65 48 526 1 "LI" -1
"48852" 65 15 497 1 "HI" 1
"48866" 65 55 633 0 "LI" -1
"48879" 65 29 436 1 "HI" 1
"48892" 65 21 440 1 "HI" 1
"48905" 65 60 633 1 "LI" -1
"48918" 65 39 443 1 "HI" 1
"48931" 65 54 472 0 "LI" -1
"48943" 65 32 400 0 "LI" -1
"48957" 65 6 450 0 "LI" -1
"48969" 65 17 612 1 "HI" 1
"48983" 65 38 504 1 "LI" -1
"48996" 65 53 440 0 "HI" 1
"49008" 65 51 483 1 "HI" 1
"49021" 65 7 511 1 "LI" -1
"49034" 65 2 447 0 "LI" -1
"49048" 65 18 461 1 "LI" -1
"49061" 65 3 461 1 "HI" 1
"49074" 65 4 522 1 "HI" 1
"49087" 65 46 422 0 "HI" 1
"49099" 65 59 472 0 "HI" 1
"49112" 65 19 418 0 "LI" -1
"49126" 65 16 737 0 "HI" 1
"49140" 65 44 493 1 "LI" -1
"49153" 65 23 371 0 "HI" 1
"49166" 65 35 415 1 "HI" 1
"49179" 65 26 411 1 "LI" -1
"49193" 65 27 511 1 "HI" 1
"49207" 65 13 447 0 "LI" -1
"49220" 65 5 357 0 "HI" 1
"49234" 65 52 422 1 "HI" 1
"49248" 65 22 601 1 "HI" 1
"49262" 65 20 339 0 "LI" -1
"49276" 65 24 425 1 "LI" -1
"49289" 65 50 622 1 "LI" -1
"49302" 65 57 547 1 "HI" 1
"49314" 65 37 396 0 "LI" -1
"49328" 65 34 314 1 "HI" 1
"49341" 65 28 522 1 "HI" 1
"49355" 65 41 432 1 "HI" 1
"49368" 65 33 647 1 "HI" 1
"49381" 65 31 941 1 "LI" -1
"49394" 65 45 515 1 "HI" 1
"49406" 65 12 576 0 "LI" -1
"49420" 65 40 504 1 "HI" 1
"49433" 65 1 508 0 "LI" -1
"49446" 65 30 518 1 "LI" -1
"49459" 65 25 432 1 "LI" -1
"49472" 65 43 436 1 "LI" -1
"49485" 65 47 439 1 "HI" 1
"49499" 65 8 386 1 "LI" -1
"49512" 66 50 351 0 "HI" 1
"49525" 66 3 347 1 "HI" 1
"49538" 66 57 799 1 "HI" 1
"49550" 66 22 763 0 "HI" 1
"49564" 66 44 756 1 "HI" 1
"49577" 66 32 967 0 "HI" 1
"49591" 66 60 326 0 "LI" -1
"49604" 66 19 2065 0 "LI" -1
"49618" 66 33 1086 1 "HI" 1
"49631" 66 9 903 1 "HI" 1
"49644" 66 55 605 1 "LI" -1
"49657" 66 45 304 1 "HI" 1
"49669" 66 11 1186 1 "LI" -1
"49682" 66 34 1312 1 "HI" 1
"49695" 66 10 817 1 "HI" 1
"49709" 66 5 394 1 "LI" -1
"49723" 66 48 1828 1 "LI" -1
"49737" 66 25 315 1 "LI" -1
"49750" 66 54 702 0 "LI" -1
"49762" 66 58 354 1 "HI" 1
