"subj" "item" "rt" "int" "expt"
"12215" "dillonE17" "dillonE113" 177 "low" "dillonE1"
"12222" "dillonE17" "dillonE113" 300 "low" "dillonE1"
"12229" "dillonE17" "dillonE137" 780 "low" "dillonE1"
"12236" "dillonE17" "dillonE137" 171 "low" "dillonE1"
"12243" "dillonE17" "dillonE137" 410 "low" "dillonE1"
"12250" "dillonE17" "dillonE137" 215 "low" "dillonE1"
"12257" "dillonE17" "dillonE137" 202 "low" "dillonE1"
"12264" "dillonE17" "dillonE137" 689 "low" "dillonE1"
"12607" "dillonE17" "dillonE122" 160 "high" "dillonE1"
"12614" "dillonE17" "dillonE122" 136 "high" "dillonE1"
"12621" "dillonE17" "dillonE122" 715 "high" "dillonE1"
"12628" "dillonE17" "dillonE122" 245 "high" "dillonE1"
"12635" "dillonE17" "dillonE122" 194 "high" "dillonE1"
"12642" "dillonE17" "dillonE122" 905 "high" "dillonE1"
"12733" "dillonE17" "dillonE16" 399 "high" "dillonE1"
"12740" "dillonE17" "dillonE16" 186 "high" "dillonE1"
"12747" "dillonE17" "dillonE16" 192 "high" "dillonE1"
"12761" "dillonE17" "dillonE16" 269 "high" "dillonE1"
"12768" "dillonE17" "dillonE16" 387 "high" "dillonE1"
"12859" "dillonE17" "dillonE121" 365 "low" "dillonE1"
"12866" "dillonE17" "dillonE121" 364 "low" "dillonE1"
"12873" "dillonE17" "dillonE121" 172 "low" "dillonE1"
"12887" "dillonE17" "dillonE121" 149 "low" "dillonE1"
"12894" "dillonE17" "dillonE121" 374 "low" "dillonE1"
"13027" "dillonE17" "dillonE129" 502 "low" "dillonE1"
"13034" "dillonE17" "dillonE129" 130 "low" "dillonE1"
"13041" "dillonE17" "dillonE129" 126 "low" "dillonE1"
"13048" "dillonE17" "dillonE129" 233 "low" "dillonE1"
"13055" "dillonE17" "dillonE129" 170 "low" "dillonE1"
"13062" "dillonE17" "dillonE129" 364 "low" "dillonE1"
"13153" "dillonE17" "dillonE138" 722 "high" "dillonE1"
"13160" "dillonE17" "dillonE138" 349 "high" "dillonE1"
"13167" "dillonE17" "dillonE138" 395 "high" "dillonE1"
"13174" "dillonE17" "dillonE138" 174 "high" "dillonE1"
"13181" "dillonE17" "dillonE138" 224 "high" "dillonE1"
"13188" "dillonE17" "dillonE138" 501 "high" "dillonE1"
"13237" "dillonE17" "dillonE146" 182 "high" "dillonE1"
"13244" "dillonE17" "dillonE146" 298 "high" "dillonE1"
"13251" "dillonE17" "dillonE146" 173 "high" "dillonE1"
"13258" "dillonE17" "dillonE146" 213 "high" "dillonE1"
"13265" "dillonE17" "dillonE146" 257 "high" "dillonE1"
"13272" "dillonE17" "dillonE146" 267 "high" "dillonE1"
"13489" "dillonE17" "dillonE130" 185 "high" "dillonE1"
"13496" "dillonE17" "dillonE130" 122 "high" "dillonE1"
"13503" "dillonE17" "dillonE130" 251 "high" "dillonE1"
"13510" "dillonE17" "dillonE130" 440 "high" "dillonE1"
"13517" "dillonE17" "dillonE130" 365 "high" "dillonE1"
"13524" "dillonE17" "dillonE130" 636 "high" "dillonE1"
"13699" "dillonE17" "dillonE145" 163 "low" "dillonE1"
"13706" "dillonE17" "dillonE145" 151 "low" "dillonE1"
"13713" "dillonE17" "dillonE145" 330 "low" "dillonE1"
"13727" "dillonE17" "dillonE145" 195 "low" "dillonE1"
"13734" "dillonE17" "dillonE145" 352 "low" "dillonE1"
"13741" "dillonE17" "dillonE15" 184 "low" "dillonE1"
"13748" "dillonE17" "dillonE15" 338 "low" "dillonE1"
"13755" "dillonE17" "dillonE15" 131 "low" "dillonE1"
"13762" "dillonE17" "dillonE15" 163 "low" "dillonE1"
"13769" "dillonE17" "dillonE15" 183 "low" "dillonE1"
"13776" "dillonE17" "dillonE15" 414 "low" "dillonE1"
"13783" "dillonE17" "dillonE114" 506 "high" "dillonE1"
"13790" "dillonE17" "dillonE114" 639 "high" "dillonE1"
"13797" "dillonE17" "dillonE114" 410 "high" "dillonE1"
"13804" "dillonE17" "dillonE114" 206 "high" "dillonE1"
"13811" "dillonE17" "dillonE114" 267 "high" "dillonE1"
"13818" "dillonE17" "dillonE114" 538 "high" "dillonE1"
"14119" "dillonE19" "dillonE119" 713 "low" "dillonE1"
"14126" "dillonE19" "dillonE119" 229 "low" "dillonE1"
"14133" "dillonE19" "dillonE119" 236 "low" "dillonE1"
"14140" "dillonE19" "dillonE119" 196 "low" "dillonE1"
"14147" "dillonE19" "dillonE119" 1246 "low" "dillonE1"
"14154" "dillonE19" "dillonE119" 631 "low" "dillonE1"
"14245" "dillonE19" "dillonE135" 165 "low" "dillonE1"
"14252" "dillonE19" "dillonE135" 367 "low" "dillonE1"
"14259" "dillonE19" "dillonE135" 395 "low" "dillonE1"
"14266" "dillonE19" "dillonE135" 175 "low" "dillonE1"
"14273" "dillonE19" "dillonE135" 227 "low" "dillonE1"
"14280" "dillonE19" "dillonE135" 485 "low" "dillonE1"
"14287" "dillonE19" "dillonE111" 1771 "low" "dillonE1"
"14294" "dillonE19" "dillonE111" 725 "low" "dillonE1"
"14301" "dillonE19" "dillonE111" 1190 "low" "dillonE1"
"14308" "dillonE19" "dillonE111" 504 "low" "dillonE1"
"14315" "dillonE19" "dillonE111" 923 "low" "dillonE1"
"14322" "dillonE19" "dillonE111" 764 "low" "dillonE1"
"14539" "dillonE19" "dillonE143" 209 "low" "dillonE1"
"14546" "dillonE19" "dillonE143" 575 "low" "dillonE1"
"14553" "dillonE19" "dillonE143" 678 "low" "dillonE1"
"14560" "dillonE19" "dillonE143" 539 "low" "dillonE1"
"14567" "dillonE19" "dillonE143" 663 "low" "dillonE1"
"14574" "dillonE19" "dillonE143" 646 "low" "dillonE1"
"14749" "dillonE19" "dillonE14" 1397 "high" "dillonE1"
"14756" "dillonE19" "dillonE14" 532 "high" "dillonE1"
"14763" "dillonE19" "dillonE14" 1207 "high" "dillonE1"
"14770" "dillonE19" "dillonE14" 994 "high" "dillonE1"
"14777" "dillonE19" "dillonE14" 650 "high" "dillonE1"
"14784" "dillonE19" "dillonE14" 396 "high" "dillonE1"
"14833" "dillonE19" "dillonE128" 718 "high" "dillonE1"
"14840" "dillonE19" "dillonE128" 815 "high" "dillonE1"
"14847" "dillonE19" "dillonE128" 963 "high" "dillonE1"
"14854" "dillonE19" "dillonE128" 247 "high" "dillonE1"
"14861" "dillonE19" "dillonE128" 195 "high" "dillonE1"
"14868" "dillonE19" "dillonE128" 673 "high" "dillonE1"
"14875" "dillonE19" "dillonE127" 956 "low" "dillonE1"
"14882" "dillonE19" "dillonE127" 524 "low" "dillonE1"
"14889" "dillonE19" "dillonE127" 543 "low" "dillonE1"
"14896" "dillonE19" "dillonE127" 381 "low" "dillonE1"
"14903" "dillonE19" "dillonE127" 416 "low" "dillonE1"
"14910" "dillonE19" "dillonE127" 935 "low" "dillonE1"
"15001" "dillonE19" "dillonE120" 946 "high" "dillonE1"
"15008" "dillonE19" "dillonE120" 677 "high" "dillonE1"
"15015" "dillonE19" "dillonE120" 1132 "high" "dillonE1"
"15022" "dillonE19" "dillonE120" 206 "high" "dillonE1"
"15029" "dillonE19" "dillonE120" 1124 "high" "dillonE1"
"15036" "dillonE19" "dillonE120" 741 "high" "dillonE1"
"15379" "dillonE19" "dillonE144" 801 "high" "dillonE1"
"15386" "dillonE19" "dillonE144" 442 "high" "dillonE1"
"15393" "dillonE19" "dillonE144" 674 "high" "dillonE1"
"15400" "dillonE19" "dillonE144" 176 "high" "dillonE1"
"15407" "dillonE19" "dillonE144" 395 "high" "dillonE1"
"15414" "dillonE19" "dillonE144" 1272 "high" "dillonE1"
"15883" "dillonE19" "dillonE13" 1095 "low" "dillonE1"
"15890" "dillonE19" "dillonE13" 752 "low" "dillonE1"
"15897" "dillonE19" "dillonE13" 828 "low" "dillonE1"
"15904" "dillonE19" "dillonE13" 173 "low" "dillonE1"
"15911" "dillonE19" "dillonE13" 412 "low" "dillonE1"
"15918" "dillonE19" "dillonE13" 1447 "low" "dillonE1"
"15967" "dillonE19" "dillonE112" 202 "high" "dillonE1"
"15974" "dillonE19" "dillonE112" 373 "high" "dillonE1"
"15981" "dillonE19" "dillonE112" 556 "high" "dillonE1"
"15988" "dillonE19" "dillonE112" 220 "high" "dillonE1"
"15995" "dillonE19" "dillonE112" 565 "high" "dillonE1"
"16002" "dillonE19" "dillonE112" 361 "high" "dillonE1"
"16009" "dillonE19" "dillonE136" 985 "high" "dillonE1"
"16016" "dillonE19" "dillonE136" 590 "high" "dillonE1"
"16023" "dillonE19" "dillonE136" 1272 "high" "dillonE1"
"16030" "dillonE19" "dillonE136" 518 "high" "dillonE1"
"16037" "dillonE19" "dillonE136" 1200 "high" "dillonE1"
"16044" "dillonE19" "dillonE136" 1168 "high" "dillonE1"
"16303" "dillonE111" "dillonE112" 1064 "low" "dillonE1"
"16310" "dillonE111" "dillonE112" 1048 "low" "dillonE1"
"16317" "dillonE111" "dillonE112" 2365 "low" "dillonE1"
"16324" "dillonE111" "dillonE112" 744 "low" "dillonE1"
"16331" "dillonE111" "dillonE112" 1355 "low" "dillonE1"
"16338" "dillonE111" "dillonE112" 913 "low" "dillonE1"
"16345" "dillonE111" "dillonE136" 1397 "low" "dillonE1"
"16352" "dillonE111" "dillonE136" 672 "low" "dillonE1"
"16359" "dillonE111" "dillonE136" 819 "low" "dillonE1"
"16366" "dillonE111" "dillonE136" 436 "low" "dillonE1"
"16373" "dillonE111" "dillonE136" 1153 "low" "dillonE1"
"16380" "dillonE111" "dillonE136" 1000 "low" "dillonE1"
"16849" "dillonE111" "dillonE15" 1269 "high" "dillonE1"
"16856" "dillonE111" "dillonE15" 454 "high" "dillonE1"
"16863" "dillonE111" "dillonE15" 1531 "high" "dillonE1"
"16870" "dillonE111" "dillonE15" 1007 "high" "dillonE1"
"16877" "dillonE111" "dillonE15" 1484 "high" "dillonE1"
"16884" "dillonE111" "dillonE15" 946 "high" "dillonE1"
"16891" "dillonE111" "dillonE120" 669 "low" "dillonE1"
"16898" "dillonE111" "dillonE120" 315 "low" "dillonE1"
"16905" "dillonE111" "dillonE120" 752 "low" "dillonE1"
"16912" "dillonE111" "dillonE120" 444 "low" "dillonE1"
"16919" "dillonE111" "dillonE120" 264 "low" "dillonE1"
"16926" "dillonE111" "dillonE120" 711 "low" "dillonE1"
"16933" "dillonE111" "dillonE144" 735 "low" "dillonE1"
"16940" "dillonE111" "dillonE144" 436 "low" "dillonE1"
"16947" "dillonE111" "dillonE144" 3111 "low" "dillonE1"
"16954" "dillonE111" "dillonE144" 266 "low" "dillonE1"
"16961" "dillonE111" "dillonE144" 699 "low" "dillonE1"
"16968" "dillonE111" "dillonE144" 1485 "low" "dillonE1"
"17143" "dillonE111" "dillonE121" 1532 "high" "dillonE1"
"17150" "dillonE111" "dillonE121" 623 "high" "dillonE1"
"17157" "dillonE111" "dillonE121" 1066 "high" "dillonE1"
"17164" "dillonE111" "dillonE121" 527 "high" "dillonE1"
"17171" "dillonE111" "dillonE121" 503 "high" "dillonE1"
"17178" "dillonE111" "dillonE121" 402 "high" "dillonE1"
"17185" "dillonE111" "dillonE128" 1639 "low" "dillonE1"
"17192" "dillonE111" "dillonE128" 634 "low" "dillonE1"
"17199" "dillonE111" "dillonE128" 800 "low" "dillonE1"
"17213" "dillonE111" "dillonE128" 965 "low" "dillonE1"
"17220" "dillonE111" "dillonE128" 707 "low" "dillonE1"
"17395" "dillonE111" "dillonE113" 340 "high" "dillonE1"
"17402" "dillonE111" "dillonE113" 1194 "high" "dillonE1"
"17409" "dillonE111" "dillonE113" 1594 "high" "dillonE1"
"17416" "dillonE111" "dillonE113" 365 "high" "dillonE1"
"17423" "dillonE111" "dillonE113" 395 "high" "dillonE1"
"17430" "dillonE111" "dillonE113" 1186 "high" "dillonE1"
"17437" "dillonE111" "dillonE145" 813 "high" "dillonE1"
"17444" "dillonE111" "dillonE145" 445 "high" "dillonE1"
"17451" "dillonE111" "dillonE145" 726 "high" "dillonE1"
"17465" "dillonE111" "dillonE145" 712 "high" "dillonE1"
"17472" "dillonE111" "dillonE145" 682 "high" "dillonE1"
"17563" "dillonE111" "dillonE137" 1940 "high" "dillonE1"
"17570" "dillonE111" "dillonE137" 906 "high" "dillonE1"
"17577" "dillonE111" "dillonE137" 1140 "high" "dillonE1"
"17584" "dillonE111" "dillonE137" 1033 "high" "dillonE1"
"17591" "dillonE111" "dillonE137" 1967 "high" "dillonE1"
"17598" "dillonE111" "dillonE137" 1744 "high" "dillonE1"
"17815" "dillonE111" "dillonE14" 1441 "low" "dillonE1"
"17822" "dillonE111" "dillonE14" 695 "low" "dillonE1"
"17829" "dillonE111" "dillonE14" 688 "low" "dillonE1"
"17836" "dillonE111" "dillonE14" 284 "low" "dillonE1"
"17843" "dillonE111" "dillonE14" 398 "low" "dillonE1"
"17850" "dillonE111" "dillonE14" 746 "low" "dillonE1"
"17983" "dillonE111" "dillonE129" 774 "high" "dillonE1"
"17990" "dillonE111" "dillonE129" 634 "high" "dillonE1"
"17997" "dillonE111" "dillonE129" 1306 "high" "dillonE1"
"18004" "dillonE111" "dillonE129" 645 "high" "dillonE1"
"18011" "dillonE111" "dillonE129" 1064 "high" "dillonE1"
"18018" "dillonE111" "dillonE129" 612 "high" "dillonE1"
"18151" "dillonE112" "dillonE119" 1018 "low" "dillonE1"
"18158" "dillonE112" "dillonE119" 740 "low" "dillonE1"
"18165" "dillonE112" "dillonE119" 1142 "low" "dillonE1"
"18172" "dillonE112" "dillonE119" 774 "low" "dillonE1"
"18179" "dillonE112" "dillonE119" 524 "low" "dillonE1"
"18186" "dillonE112" "dillonE119" 1566 "low" "dillonE1"
"18277" "dillonE112" "dillonE135" 565 "low" "dillonE1"
"18284" "dillonE112" "dillonE135" 494 "low" "dillonE1"
"18291" "dillonE112" "dillonE135" 548 "low" "dillonE1"
"18298" "dillonE112" "dillonE135" 215 "low" "dillonE1"
"18305" "dillonE112" "dillonE135" 547 "low" "dillonE1"
"18312" "dillonE112" "dillonE135" 565 "low" "dillonE1"
"18319" "dillonE112" "dillonE111" 1820 "low" "dillonE1"
"18326" "dillonE112" "dillonE111" 1528 "low" "dillonE1"
"18333" "dillonE112" "dillonE111" 2806 "low" "dillonE1"
"18340" "dillonE112" "dillonE111" 1340 "low" "dillonE1"
"18347" "dillonE112" "dillonE111" 4027 "low" "dillonE1"
"18354" "dillonE112" "dillonE111" 1833 "low" "dillonE1"
"18739" "dillonE112" "dillonE14" 520 "high" "dillonE1"
"18746" "dillonE112" "dillonE14" 442 "high" "dillonE1"
"18753" "dillonE112" "dillonE14" 676 "high" "dillonE1"
"18760" "dillonE112" "dillonE14" 549 "high" "dillonE1"
"18767" "dillonE112" "dillonE14" 492 "high" "dillonE1"
"18774" "dillonE112" "dillonE14" 1259 "high" "dillonE1"
"18823" "dillonE112" "dillonE128" 811 "high" "dillonE1"
"18830" "dillonE112" "dillonE128" 1297 "high" "dillonE1"
"18837" "dillonE112" "dillonE128" 1997 "high" "dillonE1"
"18844" "dillonE112" "dillonE128" 447 "high" "dillonE1"
"18851" "dillonE112" "dillonE128" 669 "high" "dillonE1"
"18858" "dillonE112" "dillonE128" 573 "high" "dillonE1"
"18865" "dillonE112" "dillonE127" 429 "low" "dillonE1"
"18872" "dillonE112" "dillonE127" 462 "low" "dillonE1"
"18879" "dillonE112" "dillonE127" 385 "low" "dillonE1"
"18886" "dillonE112" "dillonE127" 802 "low" "dillonE1"
"18893" "dillonE112" "dillonE127" 897 "low" "dillonE1"
"18900" "dillonE112" "dillonE127" 883 "low" "dillonE1"
"18991" "dillonE112" "dillonE120" 974 "high" "dillonE1"
"18998" "dillonE112" "dillonE120" 734 "high" "dillonE1"
"19005" "dillonE112" "dillonE120" 819 "high" "dillonE1"
"19012" "dillonE112" "dillonE120" 252 "high" "dillonE1"
"19019" "dillonE112" "dillonE120" 486 "high" "dillonE1"
"19026" "dillonE112" "dillonE120" 831 "high" "dillonE1"
"19201" "dillonE112" "dillonE112" 205 "high" "dillonE1"
"19208" "dillonE112" "dillonE112" 504 "high" "dillonE1"
"19215" "dillonE112" "dillonE112" 1060 "high" "dillonE1"
"19222" "dillonE112" "dillonE112" 597 "high" "dillonE1"
"19229" "dillonE112" "dillonE112" 1149 "high" "dillonE1"
"19236" "dillonE112" "dillonE112" 1518 "high" "dillonE1"
"19369" "dillonE112" "dillonE144" 974 "high" "dillonE1"
"19376" "dillonE112" "dillonE144" 446 "high" "dillonE1"
"19383" "dillonE112" "dillonE144" 1497 "high" "dillonE1"
"19390" "dillonE112" "dillonE144" 718 "high" "dillonE1"
"19397" "dillonE112" "dillonE144" 749 "high" "dillonE1"
"19404" "dillonE112" "dillonE144" 2330 "high" "dillonE1"
"19747" "dillonE112" "dillonE13" 382 "low" "dillonE1"
"19754" "dillonE112" "dillonE13" 405 "low" "dillonE1"
"19761" "dillonE112" "dillonE13" 439 "low" "dillonE1"
"19768" "dillonE112" "dillonE13" 184 "low" "dillonE1"
"19775" "dillonE112" "dillonE13" 206 "low" "dillonE1"
"19782" "dillonE112" "dillonE13" 911 "low" "dillonE1"
"19957" "dillonE112" "dillonE143" 316 "low" "dillonE1"
"19964" "dillonE112" "dillonE143" 326 "low" "dillonE1"
"19971" "dillonE112" "dillonE143" 1020 "low" "dillonE1"
"19978" "dillonE112" "dillonE143" 247 "low" "dillonE1"
"19985" "dillonE112" "dillonE143" 569 "low" "dillonE1"
"19992" "dillonE112" "dillonE143" 756 "low" "dillonE1"
"20041" "dillonE112" "dillonE136" 850 "high" "dillonE1"
"20048" "dillonE112" "dillonE136" 1316 "high" "dillonE1"
"20055" "dillonE112" "dillonE136" 1471 "high" "dillonE1"
"20062" "dillonE112" "dillonE136" 862 "high" "dillonE1"
"20069" "dillonE112" "dillonE136" 1187 "high" "dillonE1"
"20076" "dillonE112" "dillonE136" 2750 "high" "dillonE1"
"20209" "dillonE114" "dillonE118" 1005 "low" "dillonE1"
"20216" "dillonE114" "dillonE118" 675 "low" "dillonE1"
"20223" "dillonE114" "dillonE118" 1999 "low" "dillonE1"
"20230" "dillonE114" "dillonE118" 309 "low" "dillonE1"
"20237" "dillonE114" "dillonE118" 523 "low" "dillonE1"
"20244" "dillonE114" "dillonE118" 651 "low" "dillonE1"
"20293" "dillonE114" "dillonE134" 774 "low" "dillonE1"
"20300" "dillonE114" "dillonE134" 964 "low" "dillonE1"
"20307" "dillonE114" "dillonE134" 1428 "low" "dillonE1"
"20314" "dillonE114" "dillonE134" 737 "low" "dillonE1"
"20321" "dillonE114" "dillonE134" 323 "low" "dillonE1"
"20328" "dillonE114" "dillonE134" 141 "low" "dillonE1"
"20377" "dillonE114" "dillonE110" 980 "low" "dillonE1"
"20384" "dillonE114" "dillonE110" 933 "low" "dillonE1"
"20391" "dillonE114" "dillonE110" 593 "low" "dillonE1"
"20398" "dillonE114" "dillonE110" 433 "low" "dillonE1"
"20405" "dillonE114" "dillonE110" 880 "low" "dillonE1"
"20412" "dillonE114" "dillonE110" 1071 "low" "dillonE1"
"20419" "dillonE114" "dillonE13" 837 "high" "dillonE1"
"20426" "dillonE114" "dillonE13" 512 "high" "dillonE1"
"20433" "dillonE114" "dillonE13" 650 "high" "dillonE1"
"20440" "dillonE114" "dillonE13" 562 "high" "dillonE1"
"20447" "dillonE114" "dillonE13" 556 "high" "dillonE1"
"20454" "dillonE114" "dillonE13" 1237 "high" "dillonE1"
"20629" "dillonE114" "dillonE12" 492 "low" "dillonE1"
"20636" "dillonE114" "dillonE12" 570 "low" "dillonE1"
"20643" "dillonE114" "dillonE12" 1276 "low" "dillonE1"
"20650" "dillonE114" "dillonE12" 468 "low" "dillonE1"
"20657" "dillonE114" "dillonE12" 890 "low" "dillonE1"
"20664" "dillonE114" "dillonE12" 475 "low" "dillonE1"
"20965" "dillonE114" "dillonE126" 727 "low" "dillonE1"
"20972" "dillonE114" "dillonE126" 1191 "low" "dillonE1"
"20979" "dillonE114" "dillonE126" 1500 "low" "dillonE1"
"20986" "dillonE114" "dillonE126" 194 "low" "dillonE1"
"20993" "dillonE114" "dillonE126" 574 "low" "dillonE1"
"21000" "dillonE114" "dillonE126" 721 "low" "dillonE1"
"21007" "dillonE114" "dillonE142" 1233 "low" "dillonE1"
"21014" "dillonE114" "dillonE142" 925 "low" "dillonE1"
"21021" "dillonE114" "dillonE142" 2069 "low" "dillonE1"
"21028" "dillonE114" "dillonE142" 954 "low" "dillonE1"
"21035" "dillonE114" "dillonE142" 761 "low" "dillonE1"
"21042" "dillonE114" "dillonE142" 974 "low" "dillonE1"
"21091" "dillonE114" "dillonE127" 325 "high" "dillonE1"
"21098" "dillonE114" "dillonE127" 393 "high" "dillonE1"
"21105" "dillonE114" "dillonE127" 242 "high" "dillonE1"
"21112" "dillonE114" "dillonE127" 264 "high" "dillonE1"
"21119" "dillonE114" "dillonE127" 663 "high" "dillonE1"
"21126" "dillonE114" "dillonE127" 241 "high" "dillonE1"
"21343" "dillonE114" "dillonE143" 496 "high" "dillonE1"
"21350" "dillonE114" "dillonE143" 1434 "high" "dillonE1"
"21357" "dillonE114" "dillonE143" 1253 "high" "dillonE1"
"21364" "dillonE114" "dillonE143" 205 "high" "dillonE1"
"21371" "dillonE114" "dillonE143" 605 "high" "dillonE1"
"21378" "dillonE114" "dillonE143" 660 "high" "dillonE1"
"21679" "dillonE114" "dillonE135" 895 "high" "dillonE1"
"21686" "dillonE114" "dillonE135" 566 "high" "dillonE1"
"21693" "dillonE114" "dillonE135" 674 "high" "dillonE1"
"21700" "dillonE114" "dillonE135" 180 "high" "dillonE1"
"21707" "dillonE114" "dillonE135" 712 "high" "dillonE1"
"21714" "dillonE114" "dillonE135" 681 "high" "dillonE1"
"21805" "dillonE114" "dillonE111" 343 "high" "dillonE1"
"21812" "dillonE114" "dillonE111" 448 "high" "dillonE1"
"21819" "dillonE114" "dillonE111" 338 "high" "dillonE1"
"21826" "dillonE114" "dillonE111" 504 "high" "dillonE1"
"21833" "dillonE114" "dillonE111" 147 "high" "dillonE1"
"21840" "dillonE114" "dillonE111" 371 "high" "dillonE1"
"22099" "dillonE114" "dillonE119" 888 "high" "dillonE1"
"22106" "dillonE114" "dillonE119" 435 "high" "dillonE1"
"22113" "dillonE114" "dillonE119" 404 "high" "dillonE1"
"22120" "dillonE114" "dillonE119" 480 "high" "dillonE1"
"22127" "dillonE114" "dillonE119" 809 "high" "dillonE1"
"22134" "dillonE114" "dillonE119" 730 "high" "dillonE1"
"22183" "dillonE116" "dillonE118" 1432 "low" "dillonE1"
"22190" "dillonE116" "dillonE118" 801 "low" "dillonE1"
"22197" "dillonE116" "dillonE118" 574 "low" "dillonE1"
"22204" "dillonE116" "dillonE118" 468 "low" "dillonE1"
"22211" "dillonE116" "dillonE118" 389 "low" "dillonE1"
"22218" "dillonE116" "dillonE118" 794 "low" "dillonE1"
"22309" "dillonE116" "dillonE134" 704 "low" "dillonE1"
"22316" "dillonE116" "dillonE134" 355 "low" "dillonE1"
"22323" "dillonE116" "dillonE134" 404 "low" "dillonE1"
"22330" "dillonE116" "dillonE134" 559 "low" "dillonE1"
"22337" "dillonE116" "dillonE134" 452 "low" "dillonE1"
"22344" "dillonE116" "dillonE134" 2002 "low" "dillonE1"
"22393" "dillonE116" "dillonE110" 1240 "low" "dillonE1"
"22400" "dillonE116" "dillonE110" 830 "low" "dillonE1"
"22407" "dillonE116" "dillonE110" 595 "low" "dillonE1"
"22414" "dillonE116" "dillonE110" 378 "low" "dillonE1"
"22421" "dillonE116" "dillonE110" 792 "low" "dillonE1"
"22428" "dillonE116" "dillonE110" 1385 "low" "dillonE1"
"22897" "dillonE116" "dillonE13" 436 "high" "dillonE1"
"22904" "dillonE116" "dillonE13" 263 "high" "dillonE1"
"22911" "dillonE116" "dillonE13" 641 "high" "dillonE1"
"22918" "dillonE116" "dillonE13" 238 "high" "dillonE1"
"22925" "dillonE116" "dillonE13" 243 "high" "dillonE1"
"22932" "dillonE116" "dillonE13" 603 "high" "dillonE1"
"23065" "dillonE116" "dillonE126" 529 "low" "dillonE1"
"23072" "dillonE116" "dillonE126" 601 "low" "dillonE1"
"23079" "dillonE116" "dillonE126" 759 "low" "dillonE1"
"23093" "dillonE116" "dillonE126" 768 "low" "dillonE1"
"23100" "dillonE116" "dillonE126" 602 "low" "dillonE1"
"23149" "dillonE116" "dillonE127" 576 "high" "dillonE1"
"23156" "dillonE116" "dillonE127" 398 "high" "dillonE1"
"23163" "dillonE116" "dillonE127" 415 "high" "dillonE1"
"23170" "dillonE116" "dillonE127" 235 "high" "dillonE1"
"23177" "dillonE116" "dillonE127" 397 "high" "dillonE1"
"23184" "dillonE116" "dillonE127" 628 "high" "dillonE1"
"23401" "dillonE116" "dillonE143" 542 "high" "dillonE1"
"23408" "dillonE116" "dillonE143" 420 "high" "dillonE1"
"23415" "dillonE116" "dillonE143" 535 "high" "dillonE1"
"23422" "dillonE116" "dillonE143" 247 "high" "dillonE1"
"23429" "dillonE116" "dillonE143" 522 "high" "dillonE1"
"23436" "dillonE116" "dillonE143" 865 "high" "dillonE1"
"23737" "dillonE116" "dillonE142" 1638 "low" "dillonE1"
"23744" "dillonE116" "dillonE142" 1068 "low" "dillonE1"
"23751" "dillonE116" "dillonE142" 662 "low" "dillonE1"
"23765" "dillonE116" "dillonE142" 616 "low" "dillonE1"
"23772" "dillonE116" "dillonE142" 736 "low" "dillonE1"
"23821" "dillonE116" "dillonE12" 365 "low" "dillonE1"
"23828" "dillonE116" "dillonE12" 813 "low" "dillonE1"
"23835" "dillonE116" "dillonE12" 443 "low" "dillonE1"
"23842" "dillonE116" "dillonE12" 249 "low" "dillonE1"
"23849" "dillonE116" "dillonE12" 765 "low" "dillonE1"
"23856" "dillonE116" "dillonE12" 484 "low" "dillonE1"
"23989" "dillonE116" "dillonE111" 389 "high" "dillonE1"
"23996" "dillonE116" "dillonE111" 1105 "high" "dillonE1"
"24003" "dillonE116" "dillonE111" 677 "high" "dillonE1"
"24010" "dillonE116" "dillonE111" 240 "high" "dillonE1"
"24017" "dillonE116" "dillonE111" 454 "high" "dillonE1"
"24024" "dillonE116" "dillonE111" 461 "high" "dillonE1"
"24073" "dillonE116" "dillonE135" 843 "high" "dillonE1"
"24080" "dillonE116" "dillonE135" 292 "high" "dillonE1"
"24087" "dillonE116" "dillonE135" 819 "high" "dillonE1"
"24094" "dillonE116" "dillonE135" 258 "high" "dillonE1"
"24101" "dillonE116" "dillonE135" 254 "high" "dillonE1"
"24108" "dillonE116" "dillonE135" 790 "high" "dillonE1"
"24115" "dillonE116" "dillonE119" 363 "high" "dillonE1"
"24122" "dillonE116" "dillonE119" 356 "high" "dillonE1"
"24129" "dillonE116" "dillonE119" 533 "high" "dillonE1"
"24136" "dillonE116" "dillonE119" 209 "high" "dillonE1"
"24143" "dillonE116" "dillonE119" 453 "high" "dillonE1"
"24150" "dillonE116" "dillonE119" 1011 "high" "dillonE1"
"24283" "dillonE117" "dillonE116" 725 "low" "dillonE1"
"24290" "dillonE117" "dillonE116" 1178 "low" "dillonE1"
"24297" "dillonE117" "dillonE116" 1120 "low" "dillonE1"
"24304" "dillonE117" "dillonE116" 361 "low" "dillonE1"
"24311" "dillonE117" "dillonE116" 1074 "low" "dillonE1"
"24318" "dillonE117" "dillonE116" 1098 "low" "dillonE1"
"24325" "dillonE117" "dillonE132" 816 "low" "dillonE1"
"24332" "dillonE117" "dillonE132" 191 "low" "dillonE1"
"24339" "dillonE117" "dillonE132" 843 "low" "dillonE1"
"24346" "dillonE117" "dillonE132" 657 "low" "dillonE1"
"24353" "dillonE117" "dillonE132" 516 "low" "dillonE1"
"24360" "dillonE117" "dillonE132" 190 "low" "dillonE1"
"24787" "dillonE117" "dillonE19" 238 "high" "dillonE1"
