"subj" "item" "rt" "int" "expt"
"2863" "dillonE12" "dillonE126" 335 "low" "dillonE1"
"2870" "dillonE12" "dillonE126" 349 "low" "dillonE1"
"2877" "dillonE12" "dillonE126" 726 "low" "dillonE1"
"2884" "dillonE12" "dillonE126" 234 "low" "dillonE1"
"2891" "dillonE12" "dillonE126" 686 "low" "dillonE1"
"2898" "dillonE12" "dillonE126" 899 "low" "dillonE1"
"2989" "dillonE12" "dillonE127" 542 "high" "dillonE1"
"2996" "dillonE12" "dillonE127" 845 "high" "dillonE1"
"3003" "dillonE12" "dillonE127" 262 "high" "dillonE1"
"3010" "dillonE12" "dillonE127" 373 "high" "dillonE1"
"3017" "dillonE12" "dillonE127" 972 "high" "dillonE1"
"3024" "dillonE12" "dillonE127" 1110 "high" "dillonE1"
"3157" "dillonE12" "dillonE143" 390 "high" "dillonE1"
"3164" "dillonE12" "dillonE143" 765 "high" "dillonE1"
"3171" "dillonE12" "dillonE143" 1515 "high" "dillonE1"
"3178" "dillonE12" "dillonE143" 754 "high" "dillonE1"
"3185" "dillonE12" "dillonE143" 335 "high" "dillonE1"
"3192" "dillonE12" "dillonE143" 1227 "high" "dillonE1"
"3493" "dillonE12" "dillonE142" 433 "low" "dillonE1"
"3500" "dillonE12" "dillonE142" 385 "low" "dillonE1"
"3507" "dillonE12" "dillonE142" 543 "low" "dillonE1"
"3514" "dillonE12" "dillonE142" 436 "low" "dillonE1"
"3521" "dillonE12" "dillonE142" 200 "low" "dillonE1"
"3528" "dillonE12" "dillonE142" 1111 "low" "dillonE1"
"3661" "dillonE12" "dillonE12" 1130 "low" "dillonE1"
"3668" "dillonE12" "dillonE12" 592 "low" "dillonE1"
"3675" "dillonE12" "dillonE12" 793 "low" "dillonE1"
"3682" "dillonE12" "dillonE12" 698 "low" "dillonE1"
"3689" "dillonE12" "dillonE12" 308 "low" "dillonE1"
"3696" "dillonE12" "dillonE12" 983 "low" "dillonE1"
"3871" "dillonE12" "dillonE111" 314 "high" "dillonE1"
"3878" "dillonE12" "dillonE111" 558 "high" "dillonE1"
"3885" "dillonE12" "dillonE111" 1481 "high" "dillonE1"
"3892" "dillonE12" "dillonE111" 982 "high" "dillonE1"
"3899" "dillonE12" "dillonE111" 845 "high" "dillonE1"
"3906" "dillonE12" "dillonE111" 600 "high" "dillonE1"
"3997" "dillonE12" "dillonE119" 519 "high" "dillonE1"
"4004" "dillonE12" "dillonE119" 447 "high" "dillonE1"
"4011" "dillonE12" "dillonE119" 814 "high" "dillonE1"
"4018" "dillonE12" "dillonE119" 207 "high" "dillonE1"
"4025" "dillonE12" "dillonE119" 798 "high" "dillonE1"
"4032" "dillonE12" "dillonE119" 1283 "high" "dillonE1"
"4249" "dillonE13" "dillonE117" 457 "low" "dillonE1"
"4256" "dillonE13" "dillonE117" 474 "low" "dillonE1"
"4263" "dillonE13" "dillonE117" 386 "low" "dillonE1"
"4270" "dillonE13" "dillonE117" 414 "low" "dillonE1"
"4277" "dillonE13" "dillonE117" 1075 "low" "dillonE1"
"4284" "dillonE13" "dillonE117" 1519 "low" "dillonE1"
"4291" "dillonE13" "dillonE133" 940 "low" "dillonE1"
"4298" "dillonE13" "dillonE133" 933 "low" "dillonE1"
"4305" "dillonE13" "dillonE133" 584 "low" "dillonE1"
"4312" "dillonE13" "dillonE133" 548 "low" "dillonE1"
"4319" "dillonE13" "dillonE133" 960 "low" "dillonE1"
"4326" "dillonE13" "dillonE133" 1573 "low" "dillonE1"
"4543" "dillonE13" "dillonE126" 591 "high" "dillonE1"
"4550" "dillonE13" "dillonE126" 445 "high" "dillonE1"
"4557" "dillonE13" "dillonE126" 1475 "high" "dillonE1"
"4564" "dillonE13" "dillonE126" 588 "high" "dillonE1"
"4571" "dillonE13" "dillonE126" 1267 "high" "dillonE1"
"4578" "dillonE13" "dillonE126" 740 "high" "dillonE1"
"4753" "dillonE13" "dillonE12" 889 "high" "dillonE1"
"4760" "dillonE13" "dillonE12" 463 "high" "dillonE1"
"4767" "dillonE13" "dillonE12" 918 "high" "dillonE1"
"4774" "dillonE13" "dillonE12" 419 "high" "dillonE1"
"4781" "dillonE13" "dillonE12" 971 "high" "dillonE1"
"4788" "dillonE13" "dillonE12" 700 "high" "dillonE1"
"4837" "dillonE13" "dillonE141" 968 "low" "dillonE1"
"4844" "dillonE13" "dillonE141" 1027 "low" "dillonE1"
"4851" "dillonE13" "dillonE141" 1724 "low" "dillonE1"
"4865" "dillonE13" "dillonE141" 974 "low" "dillonE1"
"4872" "dillonE13" "dillonE141" 2434 "low" "dillonE1"
"4921" "dillonE13" "dillonE125" 589 "low" "dillonE1"
"4928" "dillonE13" "dillonE125" 492 "low" "dillonE1"
"4935" "dillonE13" "dillonE125" 1013 "low" "dillonE1"
"4942" "dillonE13" "dillonE125" 375 "low" "dillonE1"
"4949" "dillonE13" "dillonE125" 409 "low" "dillonE1"
"4956" "dillonE13" "dillonE125" 1696 "low" "dillonE1"
"5089" "dillonE13" "dillonE142" 841 "high" "dillonE1"
"5096" "dillonE13" "dillonE142" 1200 "high" "dillonE1"
"5103" "dillonE13" "dillonE142" 385 "high" "dillonE1"
"5110" "dillonE13" "dillonE142" 630 "high" "dillonE1"
"5117" "dillonE13" "dillonE142" 527 "high" "dillonE1"
"5124" "dillonE13" "dillonE142" 912 "high" "dillonE1"
"5467" "dillonE13" "dillonE19" 331 "low" "dillonE1"
"5474" "dillonE13" "dillonE19" 1076 "low" "dillonE1"
"5481" "dillonE13" "dillonE19" 1126 "low" "dillonE1"
"5488" "dillonE13" "dillonE19" 186 "low" "dillonE1"
"5495" "dillonE13" "dillonE19" 798 "low" "dillonE1"
"5502" "dillonE13" "dillonE19" 2045 "low" "dillonE1"
"5593" "dillonE13" "dillonE11" 527 "low" "dillonE1"
"5600" "dillonE13" "dillonE11" 809 "low" "dillonE1"
"5607" "dillonE13" "dillonE11" 321 "low" "dillonE1"
"5614" "dillonE13" "dillonE11" 788 "low" "dillonE1"
"5621" "dillonE13" "dillonE11" 562 "low" "dillonE1"
"5628" "dillonE13" "dillonE11" 1834 "low" "dillonE1"
"5761" "dillonE13" "dillonE110" 779 "high" "dillonE1"
"5768" "dillonE13" "dillonE110" 336 "high" "dillonE1"
"5775" "dillonE13" "dillonE110" 561 "high" "dillonE1"
"5782" "dillonE13" "dillonE110" 205 "high" "dillonE1"
"5789" "dillonE13" "dillonE110" 375 "high" "dillonE1"
"5796" "dillonE13" "dillonE110" 1157 "high" "dillonE1"
"5887" "dillonE13" "dillonE134" 3737 "high" "dillonE1"
"5894" "dillonE13" "dillonE134" 586 "high" "dillonE1"
"5901" "dillonE13" "dillonE134" 741 "high" "dillonE1"
"5908" "dillonE13" "dillonE134" 586 "high" "dillonE1"
"5915" "dillonE13" "dillonE134" 802 "high" "dillonE1"
"5922" "dillonE13" "dillonE134" 1007 "high" "dillonE1"
"5971" "dillonE13" "dillonE118" 989 "high" "dillonE1"
"5978" "dillonE13" "dillonE118" 647 "high" "dillonE1"
"5985" "dillonE13" "dillonE118" 757 "high" "dillonE1"
