"subject" "item" "condition" "rawRT"
"2853" 12 10 "objgap" 319
"2865" 12 11 "subjgap" 414
"2880" 12 12 "objgap" 665
"2893" 12 13 "subjgap" 288
"2910" 12 14 "objgap" 326
"2927" 12 15 "subjgap" 305
"2943" 12 16 "objgap" 672
"2958" 13 1 "objgap" 173
"2971" 13 2 "subjgap" 174
"2986" 13 3 "objgap" 117
"3001" 13 4 "subjgap" 184
"3020" 13 5 "objgap" 187
"3032" 13 6 "subjgap" 196
"3052" 13 7 "objgap" 155
"3064" 13 8 "subjgap" 210
"3084" 13 9 "objgap" 121
"3097" 13 10 "subjgap" 196
"3113" 13 11 "objgap" 174
"3124" 13 12 "subjgap" 163
"3141" 13 13 "objgap" 195
"3154" 13 14 "subjgap" 135
"3175" 13 15 "objgap" 222
"3187" 13 16 "subjgap" 177
"3202" 14 1 "subjgap" 186
"3219" 14 2 "objgap" 217
"3230" 14 3 "subjgap" 198
"3249" 14 4 "objgap" 175
"3264" 14 5 "subjgap" 216
"3280" 14 6 "objgap" 246
"3296" 14 7 "subjgap" 194
"3312" 14 8 "objgap" 3111
"3328" 14 9 "subjgap" 593
"3345" 14 10 "objgap" 202
"3357" 14 11 "subjgap" 190
"3372" 14 12 "objgap" 242
"3385" 14 13 "subjgap" 212
"3402" 14 14 "objgap" 205
"3419" 14 15 "subjgap" 138
"3435" 14 16 "objgap" 720
"3450" 15 1 "objgap" 270
"3463" 15 2 "subjgap" 266
"3478" 15 3 "objgap" 257
"3493" 15 4 "subjgap" 271
"3512" 15 5 "objgap" 249
"3524" 15 6 "subjgap" 269
"3544" 15 7 "objgap" 305
"3556" 15 8 "subjgap" 331
"3576" 15 9 "objgap" 253
"3589" 15 10 "subjgap" 237
"3605" 15 11 "objgap" 192
"3616" 15 12 "subjgap" 302
"3633" 15 13 "objgap" 249
"3646" 15 14 "subjgap" 289
"3667" 15 15 "objgap" 259
"3679" 15 16 "subjgap" 267
"3694" 16 1 "subjgap" 237
"3711" 16 2 "objgap" 371
"3722" 16 3 "subjgap" 263
"3741" 16 4 "objgap" 294
"3756" 16 5 "subjgap" 285
"3772" 16 6 "objgap" 293
"3788" 16 7 "subjgap" 242
"3804" 16 8 "objgap" 248
"3820" 16 9 "subjgap" 301
"3837" 16 10 "objgap" 988
"3849" 16 11 "subjgap" 330
"3864" 16 12 "objgap" 279
"3877" 16 13 "subjgap" 299
"3894" 16 14 "objgap" 382
"3911" 16 15 "subjgap" 315
"3927" 16 16 "objgap" 382
"3942" 17 1 "objgap" 378
"3955" 17 2 "subjgap" 370
"3970" 17 3 "objgap" 348
"3985" 17 4 "subjgap" 341
"4004" 17 5 "objgap" 382
"4016" 17 6 "subjgap" 309
"4036" 17 7 "objgap" 430
"4048" 17 8 "subjgap" 304
"4068" 17 9 "objgap" 435
"4081" 17 10 "subjgap" 330
"4097" 17 11 "objgap" 401
"4108" 17 12 "subjgap" 719
"4125" 17 13 "objgap" 371
"4138" 17 14 "subjgap" 277
"4159" 17 15 "objgap" 416
"4171" 17 16 "subjgap" 300
"4186" 18 1 "subjgap" 179
"4203" 18 2 "objgap" 175
"4214" 18 3 "subjgap" 157
"4233" 18 4 "objgap" 191
"4248" 18 5 "subjgap" 160
"4264" 18 6 "objgap" 179
"4280" 18 7 "subjgap" 198
"4296" 18 8 "objgap" 187
"4312" 18 9 "subjgap" 175
"4329" 18 10 "objgap" 175
"4341" 18 11 "subjgap" 171
"4356" 18 12 "objgap" 199
"4369" 18 13 "subjgap" 209
