"subj" "item" "type" "rt"
"22911" 21 7 "obj-ext" 807
"23031" 21 11 "obj-ext" 1112
"23161" 21 13 "obj-ext" 334
"23291" 21 5 "obj-ext" 319
"23411" 21 4 "subj-ext" 823
"23581" 21 10 "subj-ext" 302
"23721" 21 8 "subj-ext" 253
"23851" 21 2 "subj-ext" 246
"24001" 21 6 "subj-ext" 221
"24121" 21 1 "obj-ext" 262
"24271" 21 16 "subj-ext" 301
"24401" 21 3 "obj-ext" 246
"24571" 21 14 "subj-ext" 288
"24701" 21 15 "obj-ext" 253
"24811" 22 13 "subj-ext" 4383
"24941" 22 11 "subj-ext" 342
"25071" 22 3 "subj-ext" 611
"25241" 22 6 "obj-ext" 559
"25361" 22 2 "obj-ext" 493
"25511" 22 16 "obj-ext" 508
"25641" 22 4 "obj-ext" 415
"25811" 22 10 "obj-ext" 303
"25951" 22 5 "subj-ext" 3796
"26071" 22 7 "subj-ext" 352
"26191" 22 14 "obj-ext" 1483
"26321" 22 1 "subj-ext" 594
"26471" 22 15 "subj-ext" 291
"26581" 22 9 "subj-ext" 702
"26741" 22 8 "obj-ext" 340
"26871" 23 5 "obj-ext" 807
"26991" 23 11 "obj-ext" 639
"27121" 23 1 "obj-ext" 374
"27271" 23 3 "obj-ext" 446
"27441" 23 4 "subj-ext" 1248
"27611" 23 16 "subj-ext" 2507
"27741" 23 15 "obj-ext" 534
"27851" 23 9 "obj-ext" 349
"28011" 23 8 "subj-ext" 630
"28141" 23 2 "subj-ext" 406
"28291" 23 10 "subj-ext" 270
"28431" 23 6 "subj-ext" 454
"28551" 23 13 "obj-ext" 1079
"28681" 23 7 "obj-ext" 366
"28801" 23 14 "subj-ext" 213
"28931" 24 5 "subj-ext" 741
"29051" 24 16 "obj-ext" 306
"29181" 24 14 "obj-ext" 349
"29311" 24 8 "obj-ext" 987
"29441" 24 1 "subj-ext" 670
"29591" 24 15 "subj-ext" 444
"29701" 24 11 "subj-ext" 513
"29831" 24 7 "subj-ext" 309
"29951" 24 6 "obj-ext" 572
"30071" 24 10 "obj-ext" 706
"30211" 24 13 "subj-ext" 3145
"30341" 24 2 "obj-ext" 576
"30491" 24 4 "obj-ext" 650
"30661" 24 9 "subj-ext" 370
"30821" 24 3 "subj-ext" 555
"30991" 26 16 "obj-ext" 470
"31121" 26 3 "subj-ext" 470
"31291" 26 15 "subj-ext" 358
"31401" 26 4 "obj-ext" 318
"31571" 26 8 "obj-ext" 582
"31701" 26 6 "obj-ext" 326
"31821" 26 11 "subj-ext" 438
"31951" 26 1 "subj-ext" 534
"32101" 26 2 "obj-ext" 542
"32251" 26 13 "subj-ext" 422
"32381" 26 10 "obj-ext" 358
"32521" 26 7 "subj-ext" 374
"32641" 26 9 "subj-ext" 310
"32801" 26 5 "subj-ext" 366
"32921" 26 14 "obj-ext" 350
"33051" 27 3 "obj-ext" 360
